,taxon,W,p_val,q_val,diff_abn,passed_ss
1,ASV5,108.920.044.914.099,1.13E+07,8.07E+09,TRUE,FALSE
2,ASV6,134.108.560.153.122,0.000164402,0.109327084,FALSE,FALSE
3,ASV7,910.134.315.003.122,2.87E+07,0.000204015,TRUE,FALSE
4,ASV8,851.779.016.216.391,8.10E+08,0.005650624,TRUE,TRUE
5,ASV9,162.568.215.246.347,7.95E+09,0.053575117,FALSE,TRUE
6,ASV10,121.815.732.473.785,0.000788028,0.499609835,FALSE,TRUE
7,ASV11,235.244.559.826.999,2.51E+07,0.000178564,TRUE,TRUE
8,ASV14,194.318.583.476.223,2.32E+08,0.001631198,TRUE,FALSE
9,ASV15,255.860.147.004.691,1.83E+06,0.000130699,TRUE,FALSE
10,ASV17,0.917101346,0.815830423,1,FALSE,FALSE
11,ASV20,484.073.155.350.587,5.06E+05,3.66E+08,TRUE,TRUE
12,ASV21,0.49070409,0.768151922,1,FALSE,FALSE
13,ASV23,729.737.439.675.674,0.004261477,1,FALSE,FALSE
14,ASV24,0.317751647,0.540700358,1,FALSE,FALSE
15,ASV25,553.324.818.628.987,1.41E+06,1.02E+09,TRUE,TRUE
16,ASV26,228.885.373.626.114,1.57E+08,0.001108796,TRUE,TRUE
17,ASV28,112.335.117.646.425,0.000340717,0.222488024,FALSE,FALSE
18,ASV30,251.511.393.284.415,5.46E+07,0.000386254,TRUE,FALSE
19,ASV31,565.519.042.480.364,0.014888454,1,FALSE,FALSE
20,ASV32,62.390.858.549.501,0.011153642,1,FALSE,TRUE
21,ASV33,163.621.584.922.252,1.17E+09,0.008101388,TRUE,FALSE
22,ASV34,360.361.632.566.656,1.75E+07,0.000124824,TRUE,FALSE
23,ASV38,616.259.021.137.148,0.010188398,1,FALSE,FALSE
24,ASV39,182.652.453.910.194,2.58E+09,0.017700049,TRUE,TRUE
25,ASV40,69.795.109.754.362,1.73E+09,0.011929924,TRUE,FALSE
26,ASV41,97.986.820.616.013,0.001548967,0.944869733,FALSE,TRUE
27,ASV42,332.158.251.493.911,4.95E+06,3.56E+09,TRUE,FALSE
28,ASV43,22.027.007.253.066,0.262991186,1,FALSE,FALSE
29,ASV45,28.002.825.923.865,4.18E+07,0.000296189,TRUE,FALSE
30,ASV50,0.561731958,0.849155078,1,FALSE,FALSE
31,ASV51,841.293.607.169.596,0.003622423,1,FALSE,FALSE
32,ASV54,168.290.153.876.211,1.13E+06,8.17E+08,TRUE,TRUE
33,ASV55,141.668.227.170.593,0.515567857,1,FALSE,FALSE
34,ASV56,168.605.841.541.241,0.405807462,1,FALSE,FALSE
35,ASV58,212.804.167.939.028,5.66E+08,0.003959263,TRUE,TRUE
36,ASV60,302.836.918.474.461,0.128943571,1,FALSE,TRUE
37,ASV61,233.250.843.093.207,4.10E+08,0.002874821,TRUE,FALSE
38,ASV63,284.718.447.934.784,0.15540883,1,FALSE,FALSE
39,ASV65,180.626.525.289.541,8.72E+08,0.006070113,TRUE,FALSE
40,ASV66,632.465.855.308.786,0.011976125,1,FALSE,FALSE
41,ASV67,391.248.167.507.493,0.089382312,1,FALSE,FALSE
42,ASV72,323.161.901.990.207,0.107156946,1,FALSE,FALSE
43,ASV77,201.957.091.569.009,6.27E+08,0.004384117,TRUE,FALSE
44,ASV79,177.186.140.564.097,3.23E+09,0.022049263,TRUE,TRUE
45,ASV80,194.355.488.385.534,0.000207493,0.137568001,FALSE,FALSE
46,ASV82,110.491.158.965.213,0.001935313,1,FALSE,TRUE
47,ASV83,125.503.562.178.919,0.001054861,0.655068411,FALSE,TRUE
48,ASV89,121.556.304.513.734,0.002605371,1,FALSE,TRUE
49,ASV91,209.017.256.314.659,0.000358135,0.232787909,FALSE,TRUE
50,ASV92,427.419.102.702.925,5.28E+06,3.79E+09,TRUE,TRUE
51,ASV93,145.314.812.031.013,0.501862738,1,FALSE,FALSE
52,ASV97,277.846.930.197.576,0.167934076,1,FALSE,TRUE
53,ASV99,114.911.326.135.004,0.000631477,0.404145217,FALSE,TRUE
54,ASV100,118.179.559.276.518,0.000447029,0.288780575,FALSE,FALSE
55,ASV103,101.413.132.672.191,0.002015043,1,FALSE,TRUE
56,ASV108,191.304.772.520.628,0.00137243,0.844044473,FALSE,FALSE
57,ASV109,157.517.184.489.808,0.000269637,0.1771515,FALSE,TRUE
58,ASV110,370.508.869.217.695,0.077940377,1,FALSE,TRUE
59,ASV111,160.092.132.940.314,0.000820938,0.519653782,FALSE,TRUE
60,ASV114,486.695.510.127.883,0.032798889,1,FALSE,TRUE
61,ASV115,NA,1,1,FALSE,FALSE
62,ASV117,428.357.380.624.301,0.051310734,1,FALSE,FALSE
63,ASV120,136.983.217.762.059,3.65E+07,0.000259163,TRUE,FALSE
64,ASV121,426.736.445.772.755,0.057225875,1,FALSE,TRUE
65,ASV122,432.091.131.989.495,0.045239541,1,FALSE,FALSE
66,ASV123,19.124.709.382.339,2.16E+09,0.014864849,TRUE,TRUE
67,ASV125,205.653.993.001.325,7.57E+09,0.051165143,FALSE,TRUE
68,ASV126,NA,1,1,FALSE,FALSE
69,ASV129,527.324.494.426.491,0.031514332,1,FALSE,TRUE
70,ASV130,70.289.556.450.245,1.54E+07,0.000109922,TRUE,FALSE
