,taxon,lfc_MicrocompartmentPhyllosphere,lfc_MicrocompartmentRhizosphere,lfc_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,se_MicrocompartmentPhyllosphere,se_MicrocompartmentRhizosphere,se_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,W_MicrocompartmentPhyllosphere,W_MicrocompartmentRhizosphere,W_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,p_MicrocompartmentPhyllosphere,p_MicrocompartmentRhizosphere,p_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,q_MicrocompartmentPhyllosphere,q_MicrocompartmentRhizosphere,q_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,diff_MicrocompartmentPhyllosphere,diff_MicrocompartmentRhizosphere,diff_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentRhizosphere,passed_ss_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere
1,ASV5,-0.413350883,416.959.056.142.328,458.294.144.473.904,0.446697599,0.529687583,0.449746809,-0.925348343,787.179.215.258.445,101.900.477.104.936,0.374639772,7.61E+08,6.12E+06,1,7.83E+09,6.91E+08,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2,ASV6,-0.222252169,-12.947.923.559.993,-107.254.018.685.126,0.367833287,0.356346691,0.432593182,-0.604219838,-363.351.867.011.237,-247.932.753.275.633,0.55056237,0.001112061,0.019450811,1,0.012544728,0.199966251,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
3,ASV7,-0.772706315,378.091.739.541.604,45.536.237.103.595,0.435996971,0.546019694,0.480227459,-177.227.450.268.849,692.450.736.691.107,948.222.269.487.312,0.104008314,2.51E+09,1.25E+08,0.965260834,0.000257576,1.41E+09,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
4,ASV8,-102.626.863.980.565,319.471.600.531.635,4.220.984.645.122,0.42262125,0.527983264,0.457441278,-242.834.130.856.648,605.079.028.373.521,922.738.031.381.298,0.041308998,0.000305647,1.54E+09,0.383372793,0.003142236,0.000173946,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
5,ASV9,-0.419923202,-152.566.390.885.296,-110.574.070.639.234,0.415170425,0.379731545,0.460567815,-101.144.777.509.275,-401.774.340.264.479,-240.082.061.894.483,0.322325058,0.000538289,0.024840697,1,0.006072229,0.255377577,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
6,ASV10,0.239514665,-110.307.408.003.574,-134.258.874.484.864,0.380386986,0.377348457,0.419749054,0.629660514,-292.322.403.883.314,-319.855.096.879.089,0.536415717,0.008721629,0.004729527,1,0.089663681,0.053351956,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
7,ASV11,-131.947.643.877.421,-0.048773966,127.070.247.261.412,0.276596055,0.369924337,0.413430697,-477.040.945.832.087,-0.131848492,307.355.617.930.295,2.14E+09,0.895719139,0.003665218,0.000241314,1,0.037680686,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
8,ASV14,-122.912.215.353.349,0.046692129,127.581.428.290.089,0.29100749,0.368160087,0.405980379,-422.367.875.749.856,0.126825615,314.255.158.373.241,0.000130345,0.899698376,0.003107946,0.001470372,1,0.031951587,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
9,ASV15,-135.792.179.846.203,0.061995967,14.199.177.656.383,0.278924572,0.359190128,0.398809215,-486.841.939.692.489,0.172599307,356.039.357.348.806,2.00E+09,0.863882424,0.001015171,0.000225711,1,0.010436579,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
10,ASV17,0.194429664,0.202278745,0.007849081,0.254138803,0.299555974,0.365364445,0.765053043,0.675261931,0.021482881,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
