taxon,lfc_(Intercept),lfc_MicrocompartmentPhyllosphere,lfc_MicrocompartmentRhizosphere,lfc_SoilOriginSoilB,lfc_PlantConditionHealthy,se_(Intercept),se_MicrocompartmentPhyllosphere,se_MicrocompartmentRhizosphere,se_SoilOriginSoilB,se_PlantConditionHealthy,W_(Intercept),W_MicrocompartmentPhyllosphere,W_MicrocompartmentRhizosphere,W_SoilOriginSoilB,W_PlantConditionHealthy,p_(Intercept),p_MicrocompartmentPhyllosphere,p_MicrocompartmentRhizosphere,p_SoilOriginSoilB,p_PlantConditionHealthy,q_(Intercept),q_MicrocompartmentPhyllosphere,q_MicrocompartmentRhizosphere,q_SoilOriginSoilB,q_PlantConditionHealthy,diff_(Intercept),diff_MicrocompartmentPhyllosphere,diff_MicrocompartmentRhizosphere,diff_SoilOriginSoilB,diff_PlantConditionHealthy,passed_ss_(Intercept),passed_ss_MicrocompartmentPhyllosphere,passed_ss_MicrocompartmentRhizosphere,passed_ss_SoilOriginSoilB,passed_ss_PlantConditionHealthy,
1,ASV5,0.122217167,-0.413350883,416.959.056.142.328,-303.740.309.358.873,0.357270769,0.558235137,0.446697599,0.529687583,0.307462154,0.298192116,0.218934923,-0.925348343,787.179.215.258.445,-987.894.949.330.574,119.812.278.905.853,0.830709954,0.374639772,7.61E+08,8.35E+07,0.256046934,1,1,0.005604104,0.000600266,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2,ASV6,-0.837890022,-0.222252169,-12.947.923.559.993,202.004.145.447.581,-0.086096433,0.294639746,0.367833287,0.356346691,0.23225642,0.222524396,-284.377.798.413.677,-0.604219838,-363.351.867.011.237,869.746.230.594.308,-0.38690784,0.008236064,0.55056237,0.001112061,1.91E+05,0.701749502,1,1,0.794011511,1.40E+08,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
3,ASV7,0.537453581,-0.772706315,378.091.739.541.604,-314.992.147.437.436,-3.45E+09,0.540111666,0.435996971,0.546019694,0.320600082,0.311394543,0.995078639,-177.227.450.268.849,692.450.736.691.107,-982.508.007.184.081,-0.000110702,0.34108369,0.104008314,2.51E+09,8.82E+07,0.999913654,1,1,0.01839001,0.000632118,1,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
4,ASV8,127.181.725.516.952,-102.626.863.980.565,319.471.600.531.635,-371.219.377.931.625,-107.478.644.771.671,0.521640862,0.42262125,0.527983264,0.299119456,0.289806255,243.810.895.033.295,-242.834.130.856.648,605.079.028.373.521,-124.104.056.362.427,-370.863.784.847.871,0.040684339,0.041308998,0.000305647,1.66E+08,0.005968019,1,1,0.222816534,0.001184198,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
5,ASV9,-143.742.608.977.622,-0.419923202,-152.566.390.885.296,207.351.268.427.821,0.260369449,0.312828954,0.415170425,0.379731545,0.262426987,0.252901179,-459.492.662.937.309,-101.144.777.509.275,-401.774.340.264.479,790.129.364.446.634,102.953.038.850.309,0.000127748,0.322325058,0.000538289,5.30E+06,0.313936249,0.093128617,1,0.388644635,3.85E+09,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
6,ASV10,-187.234.991.285.143,0.239514665,-110.307.408.003.574,240.514.052.251.003,-0.107747897,0.31063016,0.380386986,0.377348457,0.227012922,0.217241965,-602.758.570.242.225,0.629660514,-292.322.403.883.314,105.947.295.933.077,-0.495981047,8.47E+08,0.536415717,0.008721629,2.06E+05,0.625596347,0.0062162,1,1,1.51E+08,1,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
7,ASV11,0.251522486,-131.947.643.877.421,-0.048773966,0.029916857,-0.157801651,0.284291006,0.276596055,0.369924337,0.217895292,0.208054493,0.884735993,-477.040.945.832.087,-0.131848492,0.137299233,-0.758463075,0.38121964,2.14E+09,0.895719139,0.891435161,0.45231115,1,0.015423547,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
8,ASV14,0.208785866,-122.912.215.353.349,0.046692129,0.109016856,-0.246281663,0.304384825,0.29100749,0.368160087,0.215394857,0.205534445,0.685927314,-422.367.875.749.856,0.126825615,0.506125622,-119.825.007.026.828,0.496619619,0.000130345,0.899698376,0.615479232,0.237700476,1,0.092544982,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
9,ASV15,0.263441902,-135.792.179.846.203,0.061995967,0.090461367,-0.248814216,0.276028323,0.278924572,0.359190128,0.201204707,0.19122964,0.954401704,-486.841.939.692.489,0.172599307,0.449598659,-130.112.787.916.194,0.345912567,2.00E+09,0.863882424,0.65555401,0.201049015,1,0.014446336,1,1,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
10,ASV17,-0.378629016,0.194429664,0.202278745,0.004368344,-0.057197405,0.230941195,0.254138803,0.299555974,0.156973975,0.146640687,-163.950.401.263.809,0.765053043,0.675261931,0.027828461,-0.390051396,0.108950841,0.448730456,0.503394413,0.977937347,0.698567893,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
