,taxon,structural_zero (Microcompartment = Endosphere),structural_zero (Microcompartment = Phyllosphere),structural_zero (Microcompartment = Rhizosphere)
1,ASV5,FALSE,FALSE,FALSE
2,ASV6,FALSE,FALSE,FALSE
3,ASV7,FALSE,FALSE,FALSE
4,ASV8,FALSE,FALSE,FALSE
5,ASV9,FALSE,FALSE,FALSE
6,ASV10,FALSE,FALSE,FALSE
7,ASV11,FALSE,FALSE,FALSE
8,ASV14,FALSE,FALSE,FALSE
9,ASV15,FALSE,FALSE,FALSE
10,ASV17,FALSE,FALSE,FALSE
11,ASV20,FALSE,FALSE,FALSE
12,ASV21,FALSE,FALSE,FALSE
13,ASV23,FALSE,FALSE,FALSE
14,ASV24,FALSE,FALSE,FALSE
15,ASV25,FALSE,FALSE,FALSE
16,ASV26,FALSE,FALSE,FALSE
17,ASV27,FALSE,TRUE,FALSE
18,ASV28,FALSE,FALSE,FALSE
19,ASV30,FALSE,FALSE,FALSE
20,ASV31,FALSE,FALSE,FALSE
21,ASV32,FALSE,FALSE,FALSE
22,ASV33,FALSE,FALSE,FALSE
23,ASV34,FALSE,FALSE,FALSE
24,ASV36,FALSE,TRUE,FALSE
25,ASV38,FALSE,FALSE,FALSE
26,ASV39,FALSE,FALSE,FALSE
27,ASV40,FALSE,FALSE,FALSE
28,ASV41,FALSE,FALSE,FALSE
29,ASV42,FALSE,FALSE,FALSE
30,ASV43,FALSE,FALSE,FALSE
31,ASV45,FALSE,FALSE,FALSE
32,ASV46,FALSE,TRUE,FALSE
33,ASV47,FALSE,TRUE,FALSE
34,ASV48,FALSE,TRUE,FALSE
35,ASV49,FALSE,TRUE,FALSE
36,ASV50,FALSE,FALSE,FALSE
37,ASV51,FALSE,FALSE,FALSE
38,ASV52,FALSE,TRUE,FALSE
39,ASV53,FALSE,TRUE,FALSE
40,ASV54,FALSE,FALSE,FALSE
41,ASV55,FALSE,FALSE,FALSE
42,ASV56,FALSE,FALSE,FALSE
43,ASV58,FALSE,FALSE,FALSE
44,ASV59,TRUE,FALSE,FALSE
45,ASV60,FALSE,FALSE,FALSE
46,ASV61,FALSE,FALSE,FALSE
47,ASV62,TRUE,FALSE,FALSE
48,ASV63,FALSE,FALSE,FALSE
49,ASV65,FALSE,FALSE,FALSE
50,ASV66,FALSE,FALSE,FALSE
51,ASV67,FALSE,FALSE,FALSE
52,ASV68,FALSE,TRUE,FALSE
53,ASV71,FALSE,TRUE,FALSE
54,ASV72,FALSE,FALSE,FALSE
55,ASV75,FALSE,TRUE,FALSE
56,ASV76,TRUE,FALSE,FALSE
57,ASV77,FALSE,FALSE,FALSE
58,ASV79,FALSE,FALSE,FALSE
59,ASV80,FALSE,FALSE,FALSE
60,ASV82,FALSE,FALSE,FALSE
61,ASV83,FALSE,FALSE,FALSE
62,ASV88,FALSE,TRUE,FALSE
63,ASV89,FALSE,FALSE,FALSE
64,ASV91,FALSE,FALSE,FALSE
65,ASV92,FALSE,FALSE,FALSE
66,ASV93,FALSE,FALSE,FALSE
67,ASV94,FALSE,TRUE,FALSE
68,ASV97,FALSE,FALSE,FALSE
69,ASV99,FALSE,FALSE,FALSE
70,ASV100,FALSE,FALSE,FALSE
71,ASV103,FALSE,FALSE,FALSE
72,ASV104,TRUE,FALSE,FALSE
73,ASV108,FALSE,FALSE,FALSE
74,ASV109,FALSE,FALSE,FALSE
75,ASV110,FALSE,FALSE,FALSE
76,ASV111,FALSE,FALSE,FALSE
77,ASV114,FALSE,FALSE,FALSE
78,ASV115,FALSE,FALSE,FALSE
79,ASV117,FALSE,FALSE,FALSE
80,ASV120,FALSE,FALSE,FALSE
81,ASV121,FALSE,FALSE,FALSE
82,ASV122,FALSE,FALSE,FALSE
83,ASV123,FALSE,FALSE,FALSE
84,ASV124,TRUE,FALSE,FALSE
85,ASV125,FALSE,FALSE,FALSE
86,ASV126,FALSE,FALSE,FALSE
87,ASV129,FALSE,FALSE,FALSE
88,ASV130,FALSE,FALSE,FALSE
89,ASV131,FALSE,FALSE,FALSE
90,ASV133,FALSE,FALSE,FALSE
91,ASV135,FALSE,FALSE,FALSE
92,ASV136,TRUE,FALSE,FALSE
93,ASV138,FALSE,FALSE,FALSE
94,ASV139,FALSE,FALSE,FALSE
95,ASV140,FALSE,FALSE,FALSE
96,ASV141,FALSE,FALSE,FALSE
97,ASV143,FALSE,FALSE,FALSE
98,ASV144,FALSE,FALSE,FALSE
99,ASV145,FALSE,FALSE,TRUE
100,ASV146,FALSE,FALSE,FALSE
101,ASV147,FALSE,TRUE,FALSE
102,ASV148,FALSE,FALSE,FALSE
103,ASV149,FALSE,FALSE,FALSE
104,ASV150,FALSE,FALSE,FALSE
105,ASV152,FALSE,FALSE,FALSE
106,ASV153,FALSE,FALSE,FALSE
107,ASV154,FALSE,FALSE,FALSE
108,ASV156,FALSE,FALSE,FALSE
109,ASV157,FALSE,FALSE,FALSE
110,ASV158,FALSE,FALSE,FALSE
111,ASV159,FALSE,FALSE,FALSE
112,ASV161,FALSE,FALSE,FALSE
113,ASV162,FALSE,FALSE,FALSE
114,ASV163,TRUE,FALSE,FALSE
115,ASV164,FALSE,FALSE,FALSE
116,ASV165,FALSE,FALSE,FALSE
117,ASV166,FALSE,FALSE,FALSE
118,ASV170,TRUE,FALSE,FALSE
119,ASV171,FALSE,TRUE,FALSE
120,ASV172,FALSE,FALSE,FALSE
121,ASV173,FALSE,FALSE,FALSE
122,ASV174,FALSE,FALSE,FALSE
123,ASV177,FALSE,TRUE,FALSE
124,ASV179,FALSE,TRUE,FALSE
125,ASV182,TRUE,FALSE,FALSE
126,ASV183,FALSE,FALSE,FALSE
127,ASV185,FALSE,FALSE,FALSE
128,ASV186,FALSE,FALSE,FALSE
129,ASV187,FALSE,FALSE,FALSE
130,ASV188,FALSE,FALSE,FALSE
131,ASV189,FALSE,FALSE,FALSE
132,ASV190,FALSE,TRUE,FALSE
133,ASV191,FALSE,TRUE,FALSE
134,ASV193,FALSE,FALSE,FALSE
135,ASV194,FALSE,TRUE,FALSE
136,ASV196,FALSE,FALSE,FALSE
137,ASV197,FALSE,FALSE,FALSE
138,ASV198,FALSE,FALSE,FALSE
139,ASV199,FALSE,FALSE,FALSE
140,ASV200,FALSE,FALSE,FALSE
141,ASV201,TRUE,TRUE,FALSE
142,ASV203,FALSE,FALSE,FALSE
143,ASV204,FALSE,TRUE,FALSE
144,ASV205,FALSE,FALSE,FALSE
145,ASV207,FALSE,FALSE,FALSE
146,ASV209,FALSE,FALSE,FALSE
147,ASV211,FALSE,FALSE,FALSE
148,ASV214,TRUE,FALSE,FALSE
149,ASV215,FALSE,FALSE,FALSE
150,ASV218,FALSE,TRUE,FALSE
151,ASV219,FALSE,TRUE,FALSE
152,ASV220,FALSE,TRUE,FALSE
153,ASV221,FALSE,FALSE,FALSE
154,ASV222,FALSE,TRUE,FALSE
155,ASV223,FALSE,TRUE,FALSE
156,ASV224,FALSE,FALSE,FALSE
157,ASV226,FALSE,FALSE,FALSE
158,ASV228,FALSE,FALSE,FALSE
159,ASV229,FALSE,FALSE,FALSE
160,ASV230,FALSE,FALSE,FALSE
161,ASV232,FALSE,FALSE,FALSE
162,ASV233,FALSE,FALSE,FALSE
163,ASV235,TRUE,FALSE,FALSE
164,ASV241,TRUE,TRUE,FALSE
165,ASV242,FALSE,FALSE,FALSE
166,ASV243,TRUE,FALSE,FALSE
167,ASV244,FALSE,FALSE,FALSE
168,ASV245,FALSE,FALSE,FALSE
169,ASV246,FALSE,FALSE,FALSE
170,ASV247,FALSE,TRUE,FALSE
171,ASV248,FALSE,FALSE,FALSE
172,ASV249,FALSE,FALSE,FALSE
173,ASV250,FALSE,FALSE,FALSE
174,ASV253,FALSE,FALSE,FALSE
175,ASV254,FALSE,FALSE,FALSE
176,ASV255,FALSE,FALSE,FALSE
177,ASV256,FALSE,TRUE,FALSE
178,ASV257,FALSE,FALSE,FALSE
179,ASV259,FALSE,FALSE,FALSE
180,ASV260,FALSE,FALSE,FALSE
181,ASV261,FALSE,FALSE,FALSE
