,taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy)
1,ASV5,FALSE,FALSE
2,ASV6,FALSE,FALSE
3,ASV7,FALSE,FALSE
4,ASV8,FALSE,FALSE
5,ASV9,FALSE,FALSE
6,ASV10,FALSE,FALSE
7,ASV11,FALSE,FALSE
8,ASV14,FALSE,FALSE
9,ASV15,FALSE,FALSE
10,ASV17,FALSE,FALSE
11,ASV20,FALSE,FALSE
12,ASV21,FALSE,FALSE
13,ASV23,FALSE,FALSE
14,ASV24,FALSE,FALSE
15,ASV25,FALSE,FALSE
16,ASV26,FALSE,FALSE
17,ASV27,FALSE,FALSE
18,ASV28,FALSE,FALSE
19,ASV30,FALSE,FALSE
20,ASV31,FALSE,FALSE
21,ASV32,FALSE,FALSE
22,ASV33,FALSE,FALSE
23,ASV34,FALSE,FALSE
24,ASV36,FALSE,FALSE
25,ASV38,FALSE,FALSE
26,ASV39,FALSE,FALSE
27,ASV40,FALSE,FALSE
28,ASV41,FALSE,FALSE
29,ASV42,FALSE,FALSE
30,ASV43,FALSE,FALSE
31,ASV45,FALSE,FALSE
32,ASV46,FALSE,FALSE
33,ASV47,FALSE,FALSE
34,ASV48,FALSE,FALSE
35,ASV49,FALSE,FALSE
36,ASV50,FALSE,FALSE
37,ASV51,FALSE,FALSE
38,ASV52,FALSE,FALSE
39,ASV53,FALSE,FALSE
40,ASV54,FALSE,FALSE
41,ASV55,FALSE,FALSE
42,ASV56,FALSE,FALSE
43,ASV58,FALSE,FALSE
44,ASV59,FALSE,FALSE
45,ASV60,FALSE,FALSE
46,ASV61,FALSE,FALSE
47,ASV62,FALSE,FALSE
48,ASV63,FALSE,FALSE
49,ASV65,FALSE,FALSE
50,ASV66,FALSE,FALSE
51,ASV67,FALSE,FALSE
52,ASV68,FALSE,FALSE
53,ASV71,FALSE,FALSE
54,ASV72,FALSE,FALSE
55,ASV75,FALSE,FALSE
56,ASV76,FALSE,FALSE
57,ASV77,FALSE,FALSE
58,ASV79,FALSE,FALSE
59,ASV80,FALSE,FALSE
60,ASV82,FALSE,FALSE
61,ASV83,FALSE,FALSE
62,ASV88,FALSE,FALSE
63,ASV89,FALSE,FALSE
64,ASV91,FALSE,FALSE
65,ASV92,FALSE,FALSE
