"taxon" "structural_zero (Plant.condition = Diseased)" "structural_zero (Plant.condition = Healthy)"
"1" "[Eubacterium] tenue group" FALSE FALSE
"2" "[Polyangium] brachysporum group" FALSE TRUE
"3" "[Rhizobium] sphaerophysae group" FALSE FALSE
"4" "[Streptomyces] thermoautotrophicus" FALSE TRUE
"5" "Abditibacterium" FALSE FALSE
"6" "Acetivibrio" FALSE FALSE
"7" "Achromobacter" FALSE FALSE
"8" "Acidaminobacter" TRUE FALSE
"9" "Acidibacter" FALSE FALSE
"10" "Acidicaldus" FALSE FALSE
"11" "Acidipila-Silvibacterium" FALSE TRUE
"12" "Acidovorax" FALSE FALSE
"13" "Acinetobacter" FALSE FALSE
"14" "Actinoallomurus" FALSE FALSE
"15" "Actinocorallia" FALSE FALSE
"16" "Actinokineospora" FALSE TRUE
"17" "Actinomadura" FALSE FALSE
"18" "Actinomycetospora" FALSE FALSE
"19" "Actinophytocola" FALSE FALSE
"20" "Actinoplanes" FALSE FALSE
"21" "Actinopolymorpha" FALSE FALSE
"22" "Actinosynnema" FALSE FALSE
"23" "Adhaeribacter" FALSE FALSE
"24" "ADurb.Bin063-1" FALSE FALSE
"25" "ADurb.Bin118" FALSE FALSE
"26" "Aequorivita" TRUE FALSE
"27" "Aeribacillus" FALSE FALSE
"28" "Aeromicrobium" FALSE FALSE
"29" "Aeromonas" FALSE FALSE
"30" "Aestuariimonas" TRUE FALSE
"31" "Aetherobacter" FALSE FALSE
"32" "Afipia" FALSE FALSE
"33" "Agarilytica" TRUE FALSE
"34" "Aggregicoccus" FALSE TRUE
"35" "Agrococcus" FALSE TRUE
"36" "Agromyces" FALSE FALSE
"37" "Ahniella" FALSE FALSE
"38" "Alcanivorax" FALSE FALSE
"39" "Algoriphagus" FALSE FALSE
"40" "Alicycliphilus" FALSE TRUE
"41" "Alicyclobacillus" FALSE FALSE
"42" "Aliidiomarina" FALSE FALSE
"43" "Aliidongia" FALSE TRUE
"44" "Aliihoeflea" FALSE FALSE
"45" "Alkalibacter" FALSE FALSE
"46" "Allocatelliglobosispora" TRUE FALSE
"47" "Alloiococcus" FALSE FALSE
"48" "Allokutzneria" FALSE FALSE
"49" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" FALSE FALSE
"50" "Allostreptomyces" FALSE FALSE
"51" "alphaI cluster" FALSE FALSE
"52" "Altererythrobacter" FALSE FALSE
"53" "Amaricoccus" FALSE FALSE
"54" "Aminobacter" FALSE FALSE
"55" "Ammoniibacillus" FALSE FALSE
"56" "Ammoniphilus" FALSE FALSE
"57" "Amnipila" FALSE FALSE
"58" "Amphibacillus" TRUE FALSE
"59" "Amphiplicatus" FALSE FALSE
"60" "Amycolatopsis" FALSE FALSE
"61" "Anaerobacillus" FALSE TRUE
"62" "Anaerobacterium" TRUE FALSE
"63" "Anaerobium" FALSE FALSE
"64" "Anaerococcus" FALSE FALSE
"65" "Anaerocolumna" FALSE FALSE
"66" "Anaeromyxobacter" FALSE FALSE
"67" "Anaerosalibacter" FALSE TRUE
"68" "Anaerosolibacter" TRUE FALSE
"69" "Anaerosporobacter" FALSE FALSE
"70" "Anaerosporomusa" TRUE FALSE
"71" "Anaerotruncus" TRUE FALSE
"72" "Anaerovorax" FALSE FALSE
"73" "Aneurinibacillus" FALSE FALSE
"74" "Angustibacter" FALSE FALSE
"75" "Aquabacterium" FALSE FALSE
"76" "Aquicella" FALSE FALSE
"77" "Arachidicoccus" TRUE FALSE
"78" "Arboricoccus" FALSE FALSE
"79" "Archangium" FALSE FALSE
"80" "Arcicella" TRUE FALSE
"81" "Arcticibacter" FALSE FALSE
"82" "Arcticiflavibacter" TRUE FALSE
"83" "Arenibacter" FALSE FALSE
"84" "Arenimonas" FALSE FALSE
"85" "Arsenicitalea" FALSE FALSE
"86" "Arthrobacter" FALSE FALSE
"87" "Asanoa" FALSE FALSE
"88" "Asticcacaulis" FALSE FALSE
"89" "Atopobium" FALSE FALSE
"90" "Aurantiacicella" FALSE FALSE
"91" "Aurantisolimonas" FALSE FALSE
"92" "Aureimonas" FALSE FALSE
"93" "Aureispira" FALSE FALSE
"94" "Azoarcus" FALSE FALSE
"95" "Azohydromonas" FALSE TRUE
"96" "Azomonas" TRUE FALSE
"97" "Azospira" FALSE FALSE
"98" "Azospirillum" FALSE FALSE
"99" "Bacillus" FALSE FALSE
"100" "Bacteriovorax" FALSE FALSE
"101" "Bacteroides" TRUE FALSE
"102" "Baia" FALSE FALSE
"103" "Bauldia" FALSE FALSE
"104" "BD1-7 clade" FALSE FALSE
"105" "Bdellovibrio" FALSE FALSE
"106" "Belliella" TRUE FALSE
"107" "Bernardetia" FALSE FALSE
"108" "BIyi10" FALSE FALSE
"109" "Blastococcus" FALSE FALSE
"110" "Blastomonas" TRUE FALSE
"111" "Blastopirellula" FALSE FALSE
"112" "Bosea" FALSE FALSE
"113" "Brachybacterium" FALSE FALSE
"114" "Bradyrhizobium" FALSE FALSE
"115" "Brevibacillus" FALSE FALSE
"116" "Brevibacterium" FALSE FALSE
"117" "Brevundimonas" FALSE FALSE
"118" "Brockia" FALSE FALSE
"119" "Brucella" FALSE FALSE
"120" "Bryobacter" FALSE FALSE
"121" "BSV13" FALSE TRUE
"122" "Burkholderia-Caballeronia-Paraburkholderia" FALSE FALSE
"123" "Bythopirellula" FALSE FALSE
"124" "C1-B045" FALSE TRUE
"125" "Caenimonas" FALSE FALSE
"126" "Caldalkalibacillus" FALSE FALSE
"127" "Caldibacillus" FALSE TRUE
"128" "Caldicoprobacter" FALSE FALSE
"129" "Calditerricola" FALSE FALSE
"130" "Camelimonas" TRUE FALSE
"131" "Candidatus Alysiosphaera" FALSE FALSE
"132" "Candidatus Amoebophilus" FALSE FALSE
"133" "Candidatus Babela" FALSE FALSE
"134" "Candidatus Berkiella" FALSE FALSE
"135" "Candidatus Caldatribacterium" TRUE FALSE
"136" "Candidatus Captivus" FALSE FALSE
"137" "Candidatus Cardinium" FALSE TRUE
"138" "Candidatus Chloroploca" FALSE FALSE
"139" "Candidatus Desulforudis" FALSE FALSE
"140" "Candidatus Dichloromethanomonas" TRUE FALSE
"141" "Candidatus Endoecteinascidia" FALSE FALSE
"142" "Candidatus Entotheonella" FALSE FALSE
"143" "Candidatus Gigarickettsia" TRUE FALSE
"144" "Candidatus Glomeribacter" FALSE FALSE
"145" "Candidatus Koribacter" FALSE FALSE
"146" "Candidatus Megaira" FALSE FALSE
"147" "Candidatus Mesochlamydia" FALSE FALSE
"148" "Candidatus Metachlamydia" FALSE TRUE
"149" "Candidatus Ovatusbacter" FALSE FALSE
"150" "Candidatus Paracaedibacter" FALSE FALSE
"151" "Candidatus Protochlamydia" FALSE FALSE
"152" "Candidatus Rhabdochlamydia" FALSE FALSE
"153" "Candidatus Rubidus" TRUE FALSE
"154" "Candidatus Solibacter" FALSE FALSE
"155" "Candidatus Trichorickettsia" FALSE FALSE
"156" "Candidatus Udaeobacter" FALSE FALSE
"157" "Candidatus Xiphinematobacter" TRUE FALSE
"158" "Candidimonas" FALSE FALSE
"159" "Caproiciproducens" FALSE FALSE
"160" "Caryophanon" FALSE FALSE
"161" "Castellaniella" FALSE FALSE
"162" "Catellatospora" FALSE FALSE
"163" "Catelliglobosispora" FALSE TRUE
"164" "Caulobacter" FALSE FALSE
"165" "Cavicella" TRUE FALSE
"166" "Cellulomonas" FALSE FALSE
"167" "Cellulosilyticum" FALSE FALSE
"168" "Cellulosimicrobium" FALSE FALSE
"169" "Cellvibrio" FALSE FALSE
"170" "Cesiribacter" FALSE FALSE
"171" "Chiayiivirga" FALSE FALSE
"172" "Chitinimonas" FALSE FALSE
"173" "Chitinophaga" FALSE FALSE
"174" "Chloronema" FALSE FALSE
"175" "Christensenellaceae R-7 group" FALSE FALSE
"176" "Chryseobacterium" FALSE FALSE
"177" "Chryseolinea" FALSE FALSE
"178" "Chryseomicrobium" FALSE FALSE
"179" "Chthoniobacter" FALSE FALSE
"180" "Chungangia" FALSE FALSE
"181" "Citricoccus" FALSE FALSE
"182" "Citrifermentans" FALSE FALSE
"183" "CK06-06-Mud-MAS4B-21" FALSE FALSE
"184" "CL500-29 marine group" FALSE FALSE
"185" "Clostridioides" FALSE FALSE
"186" "Clostridium sensu stricto 1" FALSE FALSE
"187" "Clostridium sensu stricto 10" FALSE FALSE
"188" "Clostridium sensu stricto 11" TRUE FALSE
"189" "Clostridium sensu stricto 12" FALSE FALSE
"190" "Clostridium sensu stricto 13" FALSE FALSE
"191" "Clostridium sensu stricto 15" FALSE TRUE
"192" "Clostridium sensu stricto 18" FALSE FALSE
"193" "Clostridium sensu stricto 2" FALSE FALSE
"194" "Clostridium sensu stricto 3" FALSE FALSE
"195" "Clostridium sensu stricto 4" TRUE FALSE
"196" "Clostridium sensu stricto 5" FALSE TRUE
"197" "Clostridium sensu stricto 6" FALSE TRUE
"198" "Clostridium sensu stricto 7" FALSE FALSE
"199" "Clostridium sensu stricto 8" FALSE FALSE
"200" "Clostridium sensu stricto 9" FALSE FALSE
"201" "Cnuella" TRUE FALSE
"202" "Cohnella" FALSE FALSE
"203" "Conexibacter" FALSE FALSE
"204" "Confluentibacter" FALSE FALSE
"205" "Conyzicola" FALSE TRUE
"206" "Corallococcus" FALSE FALSE
"207" "Corticibacterium" TRUE FALSE
"208" "Corynebacterium" FALSE FALSE
"209" "Couchioplanes" FALSE FALSE
"210" "Coxiella" FALSE FALSE
"211" "Criblamydia" TRUE FALSE
"212" "Croceicoccus" FALSE TRUE
"213" "Crocinitomix" FALSE FALSE
"214" "Crossiella" TRUE FALSE
"215" "Cryobacterium" TRUE FALSE
"216" "Curtobacterium" TRUE FALSE
"217" "Curvibacter" TRUE FALSE
"218" "Cystobacter" TRUE FALSE
"219" "Cytophaga" FALSE FALSE
"220" "Dactylosporangium" FALSE FALSE
"221" "Dechlorobacter" FALSE FALSE
