"taxon" "structural_zero (Microcompartment = Endosphere)" "structural_zero (Microcompartment = Phyllosphere)" "structural_zero (Microcompartment = Rhizosphere)"
"1" "[Eubacterium] tenue group" TRUE FALSE FALSE
"2" "[Polyangium] brachysporum group" TRUE TRUE FALSE
"3" "[Rhizobium] sphaerophysae group" FALSE FALSE FALSE
"4" "[Streptomyces] thermoautotrophicus" TRUE FALSE TRUE
"5" "Abditibacterium" FALSE FALSE FALSE
"6" "Acetivibrio" TRUE FALSE TRUE
"7" "Achromobacter" FALSE FALSE FALSE
"8" "Acidaminobacter" TRUE TRUE FALSE
"9" "Acidibacter" FALSE FALSE FALSE
"10" "Acidicaldus" TRUE FALSE FALSE
"11" "Acidipila-Silvibacterium" TRUE FALSE TRUE
"12" "Acidovorax" FALSE TRUE FALSE
"13" "Acinetobacter" FALSE FALSE FALSE
"14" "Actinoallomurus" TRUE FALSE FALSE
"15" "Actinocorallia" TRUE FALSE FALSE
"16" "Actinokineospora" TRUE FALSE TRUE
"17" "Actinomadura" FALSE FALSE FALSE
"18" "Actinomycetospora" TRUE FALSE FALSE
"19" "Actinophytocola" FALSE FALSE FALSE
"20" "Actinoplanes" FALSE FALSE FALSE
"21" "Actinopolymorpha" TRUE FALSE FALSE
"22" "Actinosynnema" TRUE FALSE TRUE
"23" "Adhaeribacter" FALSE FALSE FALSE
"24" "ADurb.Bin063-1" FALSE FALSE FALSE
"25" "ADurb.Bin118" TRUE FALSE FALSE
"26" "Aequorivita" TRUE FALSE TRUE
"27" "Aeribacillus" TRUE FALSE FALSE
"28" "Aeromicrobium" FALSE FALSE FALSE
"29" "Aeromonas" TRUE FALSE FALSE
"30" "Aestuariimonas" TRUE FALSE TRUE
"31" "Aetherobacter" TRUE FALSE TRUE
"32" "Afipia" FALSE FALSE TRUE
"33" "Agarilytica" TRUE FALSE FALSE
"34" "Aggregicoccus" TRUE FALSE TRUE
"35" "Agrococcus" TRUE TRUE FALSE
"36" "Agromyces" FALSE FALSE FALSE
"37" "Ahniella" TRUE FALSE FALSE
"38" "Alcanivorax" TRUE FALSE TRUE
"39" "Algoriphagus" FALSE FALSE FALSE
"40" "Alicycliphilus" TRUE FALSE TRUE
"41" "Alicyclobacillus" TRUE FALSE FALSE
"42" "Aliidiomarina" FALSE FALSE FALSE
"43" "Aliidongia" TRUE FALSE TRUE
"44" "Aliihoeflea" FALSE FALSE FALSE
"45" "Alkalibacter" TRUE FALSE TRUE
"46" "Allocatelliglobosispora" TRUE FALSE FALSE
"47" "Alloiococcus" FALSE TRUE TRUE
"48" "Allokutzneria" TRUE TRUE FALSE
"49" "Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium" FALSE FALSE FALSE
"50" "Allostreptomyces" TRUE FALSE FALSE
"51" "alphaI cluster" TRUE FALSE TRUE
"52" "Altererythrobacter" FALSE FALSE FALSE
"53" "Amaricoccus" FALSE FALSE FALSE
"54" "Aminobacter" FALSE FALSE FALSE
"55" "Ammoniibacillus" FALSE FALSE FALSE
"56" "Ammoniphilus" FALSE FALSE FALSE
"57" "Amnipila" TRUE FALSE TRUE
"58" "Amphibacillus" TRUE FALSE TRUE
"59" "Amphiplicatus" TRUE FALSE TRUE
"60" "Amycolatopsis" TRUE FALSE FALSE
"61" "Anaerobacillus" FALSE TRUE TRUE
"62" "Anaerobacterium" TRUE FALSE TRUE
"63" "Anaerobium" TRUE FALSE FALSE
"64" "Anaerococcus" FALSE FALSE TRUE
"65" "Anaerocolumna" TRUE FALSE FALSE
"66" "Anaeromyxobacter" TRUE FALSE FALSE
"67" "Anaerosalibacter" TRUE FALSE FALSE
"68" "Anaerosolibacter" TRUE TRUE FALSE
"69" "Anaerosporobacter" TRUE FALSE FALSE
"70" "Anaerosporomusa" TRUE FALSE TRUE
"71" "Anaerotruncus" TRUE FALSE TRUE
"72" "Anaerovorax" TRUE FALSE FALSE
"73" "Aneurinibacillus" FALSE FALSE FALSE
"74" "Angustibacter" TRUE FALSE TRUE
"75" "Aquabacterium" TRUE FALSE FALSE
"76" "Aquicella" FALSE FALSE FALSE
"77" "Arachidicoccus" TRUE TRUE FALSE
