"taxon" "lfc_MicrocompartmentPhyllosphere" "lfc_MicrocompartmentRhizosphere" "se_MicrocompartmentPhyllosphere" "se_MicrocompartmentRhizosphere" "W_MicrocompartmentPhyllosphere" "W_MicrocompartmentRhizosphere" "p_MicrocompartmentPhyllosphere" "p_MicrocompartmentRhizosphere" "q_MicrocompartmentPhyllosphere" "q_MicrocompartmentRhizosphere" "diff_MicrocompartmentPhyllosphere" "diff_MicrocompartmentRhizosphere" "passed_ss_MicrocompartmentPhyllosphere" "passed_ss_MicrocompartmentRhizosphere"
"1" "Abditibacteriota" 0.202726221764374 -0.443354528700302 0.329727730126513 0.363353088914879 0.614829155214181 -1.2201754773142 1 1 1 1 FALSE FALSE TRUE TRUE
"2" "Acidobacteriota" 2.56240963531051 3.09043527812664 0.39795068576673 0.382426987256686 6.43901299070142 8.0811119013741 4.81221893198247e-07 6.52868727561397e-09 1.2215632673494e-06 2.31015088214033e-08 TRUE TRUE FALSE TRUE
"3" "Actinobacteriota" 0.454510307784149 0.619226382899568 0.31719658962393 0.313621495638813 1.43289783891756 1.9744385876302 1 1 1 1 FALSE FALSE FALSE FALSE
"4" "Armatimonadota" 1.64026811868935 0.30240235192103 0.322171821492594 0.34149086522274 5.09128362340981 0.885535698660008 5.57408572964641e-05 0.386391198843648 0.000197236879664411 0.980839197064645 TRUE FALSE FALSE FALSE
"5" "Bacteroidota" -0.601948981539493 0.183764917222157 0.32059055467106 0.349394911117099 -1.87762544082784 0.52595189962732 1 1 1 1 FALSE FALSE FALSE TRUE
"6" "Bdellovibrionota" -0.0382979867104339 -0.429590321709834 0.366716038247955 0.473893180332886 -0.104434992517395 -0.906512985496158 1 1 1 1 FALSE FALSE TRUE TRUE
"7" "Chloroflexi" 2.09710969608314 0.919811174058179 0.366936209226775 0.37129299031168 5.71518875311398 2.47731898543533 6.8908929795021e-06 0.0206700740417832 2.43831597736228e-05 0.0524701879522189 TRUE FALSE TRUE TRUE
"8" "Deinococcota" -1.10335540963135 -2.32336112578063 0.327851968547265 0.35498850387241 -3.36540730415741 -6.54489117375951 0.00630326013459483 4.16437570957289e-05 0.0160005834185869 0.000147354832800272 TRUE TRUE FALSE FALSE
"9" "Dependentiae" 0.552163949210375 1.25207502855265 0.351462653358476 0.353357618590731 1.57104586770189 3.54336502930431 0.127020126349215 0.00135994878614407 0.322435705348008 0.00481212647404826 FALSE TRUE FALSE TRUE
"10" "Desulfobacterota" 0.381614406125158 0.54614201768387 0.365392010574369 0.397075961328904 1.04439723661524 1.37540942004165 1 1 1 1 FALSE FALSE FALSE FALSE
"11" "Entotheonellaeota" NA NA NA NA NA NA 1 1 1 1 FALSE FALSE FALSE FALSE
"12" "Fibrobacterota" 2.27131188917592 1.67989811302815 0.310474452546398 0.343976882191052 7.31561605326122 4.88375294969708 8.54844178703971e-07 0.000119477251678594 3.02483324772174e-06 0.000303288408107201 TRUE TRUE TRUE TRUE
"13" "Firmicutes" 0.240402664945685 0.338728519569431 0.288988309891927 0.337270556285329 0.831876780882896 1.00432283001564 1 1 1 1 FALSE FALSE TRUE TRUE
"14" "Gemmatimonadota" 2.44119170353425 3.03181461553903 0.48830576923387 0.497340569634049 4.99930956655369 6.09605328953938 1.8484527124056e-05 7.27408440768121e-07 4.69222611610652e-05 2.57390679041027e-06 TRUE TRUE TRUE TRUE
"15" "Halanaerobiaeota" 0.0240972227517261 0.576557351657267 0.343293134203143 0.335213157637061 0.0701943043739019 1.71997231767827 1 1 1 1 FALSE FALSE FALSE TRUE
"16" "Latescibacterota" 3.67141756153822 2.23100153026208 0.313339856962152 0.3357354419746 11.7170461400373 6.6451177067891 5.98537988817499e-09 7.80627693622375e-06 2.11790365273884e-08 1.98159337611834e-05 TRUE TRUE TRUE TRUE
"17" "Myxococcota" 1.41090681615509 1.72896691934715 0.462487487818365 0.450204555345923 3.05069186370983 3.84040298752346 0.00404137574263844 0.000428617666437184 0.0102588768851591 0.00151664712739311 TRUE TRUE TRUE TRUE
"18" "Nitrospirota" 1.31716166311526 2.07678944565455 0.338449603869885 0.34911350364358 3.89175123284126 5.94875140600348 0.000493086428264073 1.41984787377387e-06 0.00125168093328572 5.02407709181524e-06 TRUE TRUE FALSE TRUE
"19" "Patescibacteria" -1.0040716152969 -2.31036422088659 0.34898143377495 0.365547647852201 -2.87714909196117 -6.32028200553687 0.0237481139784454 0.000396360878317355 0.0602836739452846 0.0014025077232768 FALSE TRUE TRUE TRUE
"20" "Planctomycetota" 0.811025853488981 1.1771646181292 0.373395657566313 0.429611338459103 2.17202808081652 2.7400687848495 0.0381721798108465 0.0104008953767735 0.096898610289072 0.0368031682562753 FALSE TRUE FALSE FALSE
"21" "Proteobacteria" -0.520230107468007 0.698540687233634 0.324267390123345 0.327501937524701 -1.60432446589872 2.13293604463317 1 1 1 1 FALSE FALSE FALSE FALSE
"22" "Spirochaetota" 0.767285163569898 0.306665379975214 0.338141779007744 0.355221731609237 2.26912263199611 0.863306922653489 1 1 1 1 FALSE FALSE FALSE FALSE
"23" "Verrucomicrobiota" 1.14738047550436 1.76688536903111 0.467412867719506 0.422459947925991 2.45474730103686 4.18237368466618 0.0187896052322636 0.000163771622578937 0.0476966902049768 0.000579499587587008 TRUE TRUE TRUE TRUE
