"taxon" "W" "p_val" "q_val" "diff_abn" "passed_ss"
"1" "Abditibacteriota" 3.21115463382153 0.159444047697966 0.797220238489828 FALSE TRUE
"2" "Acidobacteriota" 79.3348869155952 3.48003147035557e-12 8.00407238181782e-11 TRUE TRUE
"3" "Actinobacteriota" 4.89913264645555 0.0242258616486209 0.218032754837588 FALSE TRUE
"4" "Armatimonadota" 26.7456938847854 4.45620814433407e-06 7.53352602795375e-05 TRUE FALSE
"5" "Bacteroidota" 4.59067858368893 0.0311904275883461 0.249523420706769 FALSE TRUE
"6" "Bdellovibrionota" 0.843896433006163 0.874385406763616 1 FALSE TRUE
"7" "Chloroflexi" 32.738373406317 2.77359258842815e-07 4.99246665917066e-06 TRUE TRUE
"8" "Deinococcota" 42.9939635208754 1.26398680417589e-05 0.000176958152584625 TRUE FALSE
"9" "Dependentiae" 12.6447101600034 0.000225128511799777 0.0029266706533971 TRUE TRUE
"10" "Desulfobacterota" 2.40031425663643 0.235287664866762 0.941150659467049 FALSE FALSE
"11" "Entotheonellaeota" NA 1 1 FALSE FALSE
"12" "Fibrobacterota" 58.9544442719814 2.50756265885423e-08 4.76436905182303e-07 TRUE TRUE
"13" "Firmicutes" 1.32452106145598 0.553121969171802 1 FALSE TRUE
"14" "Gemmatimonadota" 44.5383125535484 8.45421943348525e-10 1.7753860810319e-08 TRUE TRUE
"15" "Halanaerobiaeota" 3.33261561281917 0.105635519182064 0.633813115092384 FALSE FALSE
"16" "Latescibacterota" 141.086927214397 3.7508954526592e-10 8.25196999585024e-09 TRUE TRUE
"17" "Myxococcota" 16.6270367457724 1.11069348851528e-05 0.000166604023277292 TRUE TRUE
"18" "Nitrospirota" 40.2662472170415 4.81298282898163e-09 9.62596565796327e-08 TRUE TRUE
"19" "Patescibacteria" 40.3029733237614 0.000288406856995815 0.00346088228394979 TRUE TRUE
"20" "Planctomycetota" 8.74876074322128 0.00212847625857545 0.0212847625857545 TRUE FALSE
"21" "Proteobacteria" 8.59699948266921 0.00144613243355681 0.0159074567691249 TRUE TRUE
"22" "Spirochaetota" 5.15690337620944 0.0526082836455345 0.368257985518741 FALSE FALSE
"23" "Verrucomicrobiota" 18.5813269732203 4.70845376747109e-06 7.53352602795375e-05 TRUE TRUE
