"taxon" "lfc_MicrocompartmentPhyllosphere" "lfc_MicrocompartmentRhizosphere" "lfc_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere" "se_MicrocompartmentPhyllosphere" "se_MicrocompartmentRhizosphere" "se_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere" "W_MicrocompartmentPhyllosphere" "W_MicrocompartmentRhizosphere" "W_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere" "p_MicrocompartmentPhyllosphere" "p_MicrocompartmentRhizosphere" "p_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere" "q_MicrocompartmentPhyllosphere" "q_MicrocompartmentRhizosphere" "q_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere" "diff_MicrocompartmentPhyllosphere" "diff_MicrocompartmentRhizosphere" "diff_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere" "passed_ss_MicrocompartmentPhyllosphere" "passed_ss_MicrocompartmentRhizosphere" "passed_ss_MicrocompartmentRhizosphere_MicrocompartmentPhyllosphere"
"1" "Abditibacteriota" 0.202726221764374 -0.443354528700302 -0.646080750464675 0.329727730126513 0.363353088914879 0.363169650309118 0.614829155214181 -1.2201754773142 -1.77900534891821 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"2" "Acidobacteriota" 2.56240963531051 3.09043527812664 0.528025642816134 0.39795068576673 0.382426987256686 0.43979750363281 6.43901299070142 8.0811119013741 1.20061082305957 4.81221893198247e-07 6.52868727561397e-09 0.239617644043997 1.59404752121919e-06 2.81549638760852e-08 0.554115801851743 TRUE TRUE FALSE FALSE TRUE FALSE
"3" "Actinobacteriota" 0.454510307784149 0.619226382899568 0.164716075115419 0.31719658962393 0.313621495638813 0.390655581871104 1.43289783891756 1.9744385876302 0.421640142261597 0.159117835587967 0.0547766418212613 0.675388172591515 0.527077830385139 0.236224267854189 1 FALSE FALSE FALSE FALSE FALSE TRUE
"4" "Armatimonadota" 1.64026811868935 0.30240235192103 -1.33786576676832 0.322171821492594 0.34149086522274 0.38112393847821 5.09128362340981 0.885535698660008 -3.51031680694288 5.57408572964641e-05 0.386391198843648 0.00220188598667607 0.000240382447091001 0.893529647325936 0.00729374733086447 TRUE FALSE TRUE FALSE FALSE FALSE
"5" "Bacteroidota" -0.601948981539493 0.183764917222157 0.78571389876165 0.32059055467106 0.349394911117099 0.41040926108492 -1.87762544082784 0.52595189962732 1.91446434879322 0.0672259198794609 0.601623845361622 0.0622298895523228 0.222685859600714 1 0.222685859600714 FALSE FALSE FALSE FALSE TRUE FALSE
"6" "Bdellovibrionota" -0.0382979867104339 -0.429590321709834 -0.3912923349994 0.366716038247955 0.473893180332886 0.513949090692375 -0.104434992517395 -0.906512985496158 -0.761344541873328 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"7" "Chloroflexi" 2.09710969608314 0.919811174058179 -1.17729852202496 0.366936209226775 0.37129299031168 0.407941199024395 5.71518875311398 2.47731898543533 -2.8859515166414 6.8908929795021e-06 0.0206700740417832 0.0081238320148201 2.97169759741028e-05 0.0477995462216236 0.0269101935490916 TRUE TRUE TRUE TRUE TRUE FALSE
"8" "Deinococcota" -1.10335540963135 -2.32336112578063 -1.22000571614928 0.327851968547265 0.35498850387241 0.355498156603741 -3.36540730415741 -6.54489117375951 -3.43182009100871 0.00630326013459483 4.16437570957289e-05 0.00560501593514656 0.0145762890612505 0.000179588702475331 0.0145762890612505 TRUE TRUE TRUE FALSE FALSE FALSE
"9" "Dependentiae" 0.552163949210375 1.25207502855265 0.699911079342271 0.351462653358476 0.353357618590731 0.397190800383994 1.57104586770189 3.54336502930431 1.76215329928492 0.127020126349215 0.00135994878614407 0.0885825864998863 0.293734042182561 0.00586477914024632 0.293429817780873 FALSE TRUE FALSE FALSE TRUE TRUE
"10" "Desulfobacterota" 0.381614406125158 0.54614201768387 0.164527611558711 0.365392010574369 0.397075961328904 0.46495229911987 1.04439723661524 1.37540942004165 0.353859120322995 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE FALSE
"11" "Entotheonellaeota" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE FALSE
"12" "Fibrobacterota" 2.27131188917592 1.67989811302815 -0.591413776147767 0.310474452546398 0.343976882191052 0.367860842922778 7.31561605326122 4.88375294969708 -1.60771059906454 8.54844178703971e-07 0.000119477251678594 0.125297527159506 3.68651552066087e-06 0.000395768396185344 0.289750531556358 TRUE TRUE FALSE TRUE TRUE TRUE
"13" "Firmicutes" 0.240402664945685 0.338728519569431 0.0983258546237461 0.288988309891927 0.337270556285329 0.374283269819916 0.831876780882896 1.00432283001564 0.262704380751656 1 1 1 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"14" "Gemmatimonadota" 2.44119170353425 3.03181461553903 0.590622912004785 0.48830576923387 0.497340569634049 0.533273237828492 4.99930956655369 6.09605328953938 1.10754275689855 1.8484527124056e-05 7.27408440768121e-07 0.276067083745381 6.12299960984355e-05 3.13694890081252e-06 0.638405131161194 TRUE TRUE FALSE TRUE TRUE FALSE
