"taxon" "lfc_(Intercept)" "lfc_MicrocompartmentPhyllosphere" "lfc_MicrocompartmentRhizosphere" "lfc_SoilOriginSoilB" "lfc_PlantConditionHealthy" "se_(Intercept)" "se_MicrocompartmentPhyllosphere" "se_MicrocompartmentRhizosphere" "se_SoilOriginSoilB" "se_PlantConditionHealthy" "W_(Intercept)" "W_MicrocompartmentPhyllosphere" "W_MicrocompartmentRhizosphere" "W_SoilOriginSoilB" "W_PlantConditionHealthy" "p_(Intercept)" "p_MicrocompartmentPhyllosphere" "p_MicrocompartmentRhizosphere" "p_SoilOriginSoilB" "p_PlantConditionHealthy" "q_(Intercept)" "q_MicrocompartmentPhyllosphere" "q_MicrocompartmentRhizosphere" "q_SoilOriginSoilB" "q_PlantConditionHealthy" "diff_(Intercept)" "diff_MicrocompartmentPhyllosphere" "diff_MicrocompartmentRhizosphere" "diff_SoilOriginSoilB" "diff_PlantConditionHealthy" "passed_ss_(Intercept)" "passed_ss_MicrocompartmentPhyllosphere" "passed_ss_MicrocompartmentRhizosphere" "passed_ss_SoilOriginSoilB" "passed_ss_PlantConditionHealthy"
"1" "Abditibacteriota" -0.129974777125994 0.202726221764374 -0.443354528700302 1.77564138666412 -0.604863483107332 0.293909287599593 0.329727730126513 0.363353088914879 0.169723280897935 0.15936868875259 -0.442227526008178 0.614829155214181 -1.2201754773142 10.461978918095 -3.79537215146662 0.666893446451623 0.551173844310482 0.247911679975988 4.69937630934307e-07 0.00296696953497867 1 1 1 7.5190020949489e-06 0.0682402993045093 FALSE FALSE FALSE TRUE FALSE TRUE TRUE TRUE TRUE FALSE
"2" "Acidobacteriota" -1.40766928863838 2.56240963531051 3.09043527812664 -2.59482715283691 0.196215428600752 0.350097759403294 0.39795068576673 0.382426987256686 0.260637961397798 0.250926126063033 -4.02078919624509 6.43901299070142 8.0811119013741 -9.95567621432001 0.781964922024351 0.000378094031053921 4.81221893198247e-07 6.52868727561397e-09 7.29898334296665e-11 0.440573382512824 0.00793997465213234 1.05868816503614e-05 1.50159807339121e-07 1.532786502023e-09 1 TRUE TRUE TRUE TRUE FALSE FALSE FALSE TRUE TRUE TRUE
"3" "Actinobacteriota" -0.559041564234929 0.454510307784149 0.619226382899568 -0.130699271821277 -0.00404881929704719 0.282287851828327 0.31719658962393 0.313621495638813 0.208719827122454 0.198637908592124 -1.98039540353621 1.43289783891756 1.9744385876302 -0.626194806804805 -0.0203829134415672 0.0540802375032392 0.159117835587967 0.0547766418212613 0.534497344338394 0.983832204378182 0.865283800051827 1 0.547766418212613 1 1 FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE
"4" "Armatimonadota" -1.05967403155918 1.64026811868935 0.30240235192103 0.280261076172458 0.210142333023504 0.272148756550879 0.322171821492594 0.34149086522274 0.181650777409357 0.17136998901349 -3.89373093226338 5.09128362340981 0.885535698660008 1.54285646430722 1.22624932307699 0.000901883834210253 5.57408572964641e-05 0.386391198843648 0.138540956768483 0.234347241226239 0.0180376766842051 0.00100333543133635 1 0.831245740610898 1 TRUE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE
"5" "Bacteroidota" 0.266668090932585 -0.601948981539493 0.183764917222157 -0.888387525696194 0.0968339609102096 0.308955041378317 0.32059055467106 0.349394911117099 0.229170417818299 0.219240964315701 0.863129113358758 -1.87762544082784 0.52595189962732 -3.87653665841185 0.441678229305594 0.392855281572821 0.0672259198794609 0.601623845361622 0.000357417660720207 0.660935333496055 1 0.672259198794609 1 0.00393159426792228 1 FALSE FALSE FALSE TRUE FALSE TRUE FALSE TRUE TRUE TRUE
"6" "Bdellovibrionota" 0.316065996798016 -0.0382979867104339 -0.429590321709834 -1.02715090176404 0.192343454798601 0.348714521437617 0.366716038247955 0.473893180332886 0.320294282862767 0.310924197905474 0.906374634170658 -0.104434992517395 -0.906512985496158 -3.20689739630518 0.618618480305855 0.369908364517121 0.917321292983317 0.369836014716438 0.00256706077677832 0.53950851564881 1 1 1 0.0231035469910049 1 FALSE FALSE FALSE TRUE FALSE TRUE TRUE TRUE FALSE TRUE
"7" "Chloroflexi" -1.06639890405373 2.09710969608314 0.919811174058179 -1.23603771522924 0.566198486054383 0.345150512169425 0.366936209226775 0.37129299031168 0.227370509860245 0.217427899149672 -3.08966339742896 5.71518875311398 2.47731898543533 -5.43622704628222 2.60407467610504 0.00501020038779232 6.8908929795021e-06 0.0206700740417832 1.38315482586596e-05 0.0155603921667866 0.0901836069802618 0.000137817859590042 0.248040888501398 0.000182142187440701 0.342328627669305 FALSE TRUE FALSE TRUE FALSE FALSE TRUE TRUE TRUE FALSE
"8" "Deinococcota" 1.09711773079566 -1.10335540963135 -2.32336112578063 0.204424310628835 0.366361905212927 0.287771410493081 0.327851968547265 0.35498850387241 0.160825549792063 0.150430590210703 3.81246256852205 -3.36540730415741 -6.54489117375951 1.27109349784996 2.43542157682009 0.00288046131482487 0.00630326013459483 4.16437570957289e-05 0.229916841837459 0.0330902024958982 0.0547287649816725 0.0945489020189224 0.00079123138481885 1 0.661804049917964 FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
"9" "Dependentiae" -0.0392597291053374 0.552163949210375 1.25207502855265 -1.65611444606604 -0.489787427037768 0.329872748759899 0.351462653358476 0.353357618590731 0.217460139316334 0.20744404730965 -0.119014769340383 1.57104586770189 3.54336502930431 -7.61571500539202 -2.36105799799917 0.906084274331264 0.127020126349215 0.00135994878614407 2.13840956243583e-08 0.0251573529142484 1 1 0.019039283006017 3.84913721238449e-07 0.528304411199216 FALSE FALSE TRUE TRUE FALSE TRUE FALSE TRUE TRUE FALSE
"10" "Desulfobacterota" -0.280172118888932 0.381614406125158 0.54614201768387 -1.16887812988026 0.542470023558022 0.315744365910917 0.365392010574369 0.397075961328904 0.254083144067539 0.244328077202074 -0.887338458378001 1.04439723661524 1.37540942004165 -4.60037651915057 2.22025249725747 0.385991531974598 0.309408175224445 0.185005371639914 0.000195297003724167 0.0387627445685247 1 1 1 0.00234356404469 0.73649214680197 FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
