"taxon" "lfc_(Intercept)" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy" "diff_robust_(Intercept)" "diff_robust_Soil.originSoilB" "diff_robust_Plant.conditionHealthy"
"1" "ASV6" 0.0779974626378125 0.603331252245851 -0.486172679284892 0.11745039478538 0.220125466830274 0.196893466168256 0.664088552280638 2.7408516648873 -2.46921692601741 0.525307159370771 0.0254157499038072 0.0387577403806645 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"2" "ASV9" 0.0105469097119273 0.193892174724029 -0.275877131429517 0.11240945030969 0.229484989738241 0.206271705467405 0.0938258276583545 0.844901337317048 -1.33744534086432 0.931162720069725 0.460220153030503 0.273435954546945 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"3" "ASV10" 0.171590913658857 0.0763850636766099 -0.354705450606838 0.111199969026934 0.226972033847152 0.203749982677039 1.54308418572757 0.336539539175339 -1.7408857951614 0.262779164333617 0.768495335256803 0.2238301110387 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"4" "ASV11" 0.611568924265498 -1.0285369358652 -0.323651029063208 0.213246234918921 0.397806982169468 0.376353836172809 2.86790022106615 -2.58551755491068 -0.859964740507116 0.0131961592174373 0.0226188090114981 0.405388755577732 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"5" "ASV14" 0.588973986656387 -0.902937363432642 -0.443232330979244 0.209932675653146 0.370156417994955 0.348427771639409 2.8055374649228 -2.43934001826479 -1.27209243078921 0.0158803152479177 0.0311954463510417 0.227439146746458 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"6" "ASV15" 0.451144735385322 -0.852146787911467 -0.316122297781204 0.201350129438019 0.38152843788302 0.359915846477523 2.24059818905752 -2.23350792050983 -0.878322810387696 0.04665234523267 0.0472353429780687 0.398547731891273 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"7" "ASV17" -0.119377443972924 -0.00505878830523031 0.114763559853666 0.167343281320226 0.324310254900954 0.302076779124961 -0.713368609908421 -0.0155986072866406 0.379915199659193 0.488227078879446 0.987791472614057 0.71014266634855 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"8" "ASV20" -0.452408979541577 0.431294568395612 0.670749189050306 0.222255292711754 0.32405936328428 0.301822982572129 -2.0355374849422 1.33091222553955 2.22232642237578 0.0812461679001407 0.224930497841927 0.0616651857284557 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"9" "ASV21" -0.21170226755136 0.114037632037146 0.180316786668161 0.158630439991308 0.313183142785446 0.290819776327812 -1.33456269529959 0.364124425800497 0.620029314873375 0.204924195169659 0.721618975484079 0.545953855190778 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"10" "ASV23" -0.0200763017765045 -0.949827045711257 0.37581099715573 0.14416672653038 0.244087711694299 0.220964719336125 -0.139257526751666 -3.89133495954455 1.70077376281983 0.892313054015338 0.00366748912672105 0.123198529850113 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"11" "ASV24" -0.18264501800428 0.0984124699425225 0.137827449668625 0.16664001735129 0.32878836179162 0.306606521540357 -1.09604536117666 0.299318593292832 0.449525499249643 0.292948610027928 0.76942865237958 0.660456070762901 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"12" "ASV25" -0.339031620413942 -0.278946970204809 0.692041300264165 0.161108479120736 0.312006168220187 0.289628954148262 -2.10436857367307 -0.894043126762648 2.38940648147321 0.103143512970173 0.421830892575439 0.0752162490237023 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"13" "ASV26" -0.585683389606356 -1.34239858978555 1.54622381485827 0.289325969440115 0.397141288527056 0.375681775717311 -2.02430286759164 -3.38015368476124 4.11578073465495 0.0736087543300052 0.00812499493071985 0.0026143511907244 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"14" "ASV28" -0.379370756499649 0.165277643006408 0.388207083896556 0.228763969990364 0.342529308746099 0.320503069319171 -1.65835011744039 0.482521170557468 1.21124295227876 0.128238278471532 0.639823791447383 0.253648505174205 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"15" "ASV30" -0.616190787229697 -0.667214611606715 1.10281450870456 0.249570230240464 0.346352073790937 0.324368280577844 -2.46900756807408 -1.92640570707094 3.39988394284409 0.0387703934097016 0.0902196479443647 0.00936207490398719 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"16" "ASV31" 0.12726650202505 -0.917757901420373 0.165146365829359 0.131600002230484 0.250493285560131 0.227425277828346 0.967070667690078 -3.66380240240039 0.726156597042861 0.358775597859265 0.00520468741110644 0.486197267144073 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
"17" "ASV32" -0.0126302903953068 0.232576694566403 -0.190084866486094 0.197764294969167 0.36766611790429 0.345911545972431 -0.0638653726511953 0.632575816047718 -0.549518709911012 0.950223230623914 0.539937160268892 0.593630209509413 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE FALSE FALSE FALSE
