taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy),structural_zero,lfc_(Intercept),lfc_Soil.originSoilB,lfc_Plant.conditionHealthy,se_(Intercept),se_Soil.originSoilB,se_Plant.conditionHealthy,W_(Intercept),W_Soil.originSoilB,W_Plant.conditionHealthy,p_(Intercept),p_Soil.originSoilB,p_Plant.conditionHealthy,q_(Intercept),q_Soil.originSoilB,q_Plant.conditionHealthy,diff_(Intercept),diff_Soil.originSoilB,diff_Plant.conditionHealthy,passed_ss_(Intercept),passed_ss_Soil.originSoilB,passed_ss_Plant.conditionHealthy,
1,ASV5,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2,ASV6,FALSE,FALSE,FALSE,0.077997463,0.603331252,-0.486172679,0.119350987,0.229645654,0.206436961,0.653513344,262.722.695.228.351,-235.506.605.028.226,0.531755389,0.030308399,0.046313551,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
3,ASV7,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,ASV8,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
5,ASV9,FALSE,FALSE,FALSE,0.01054691,0.193892175,-0.275877131,0.114393826,0.238632072,0.215400089,0.092198243,0.812515153,-128.076.609.572.522,0.932352295,0.475984105,0.290314686,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
6,ASV10,FALSE,FALSE,FALSE,0.171590914,0.076385064,-0.354705451,0.113205547,0.236216446,0.212986472,151.574.651.253.588,0.323368948,-166.538.957.391.462,0.268828479,0.777096501,0.237751888,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
7,ASV11,FALSE,FALSE,FALSE,0.611568924,-10.285.369.358.652,-0.323651029,0.214298902,0.403152949,0.381433339,285.381.267.710.643,-255.123.257.315.091,-0.848512692,0.013557503,0.024136254,0.411504511,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
8,ASV14,FALSE,FALSE,FALSE,0.588973987,-0.902937363,-0.443232331,0.211001875,0.375895835,0.353908313,279.132.110.700.054,-240.209.461.819.752,-125.239.310.470.252,0.016304555,0.033390857,0.234285106,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
9,ASV15,FALSE,FALSE,FALSE,0.451144735,-0.852146788,-0.316122298,0.202464657,0.387099282,0.365224039,22.282.641.390.539,-220.136.493.950.281,-0.865557204,0.047670993,0.049966842,0.40521541,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
10,ASV17,FALSE,FALSE,FALSE,-0.119377444,-0.005058788,0.11476356,0.168682651,0.330845956,0.30838217,-0.70770434,-0.015290464,0.372147197,0.491622648,0.988032626,0.715779264,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11,ASV20,FALSE,FALSE,FALSE,-0.45240898,0.431294568,0.670749189,0.223265488,0.330600025,0.308133567,-202.632.741.966.226,130.458.117.440.672,217.681.311.591.131,0.082357868,0.23328675,0.065950284,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
12,ASV21,FALSE,FALSE,FALSE,-0.211702268,0.114037632,0.180316787,0.160042742,0.319946224,0.297363959,-132.278.580.460.092,0.356427498,0.606384133,0.208704452,0.727238633,0.554701444,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,ASV23,FALSE,FALSE,FALSE,-0.020076302,-0.949827046,0.375810997,0.145719278,0.252706779,0.229509453,-0.137773822,-375.861.323.530.155,163.745.323.600.057,0.893452317,0.004494601,0.135961442,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
14,ASV24,FALSE,FALSE,FALSE,-0.182645018,0.09841247,0.13782745,0.167984994,0.33523677,0.312820621,-108.726.984.228.103,0.293561085,0.440595793,0.296665919,0.773727475,0.666743322,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
15,ASV25,FALSE,FALSE,FALSE,-0.33903162,-0.27894697,0.6920413,0.162499246,0.318794219,0.296199448,-208.635.811.628.118,-0.875006362,233.640.307.088.028,0.105263189,0.430965592,0.079691391,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
16,ASV26,FALSE,FALSE,FALSE,-0.58568339,-134.239.858.978.555,154.622.381.485.827,0.290102705,0.402496097,0.380770244,-201.888.289.745.968,-333.518.411.361.911,40.607.790.124.672,0.074255804,0.008726783,0.002838628,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
17,ASV27,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
18,ASV28,FALSE,FALSE,FALSE,-0.379370756,0.165277643,0.388207084,0.229745548,0.34872372,0.326452752,-165.126.488.779.901,0.473950103,118.916.774.701.472,0.129694832,0.645713853,0.261843802,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
19,ASV30,FALSE,FALSE,FALSE,-0.616190787,-0.667214612,110.281.450.870.456,0.250470283,0.352479311,0.330248336,-246.013.530.956.801,-189.291.851.070.957,333.934.917.570.118,0.039310465,0.094998172,0.010241059,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
20,ASV31,FALSE,FALSE,FALSE,0.127266502,-0.917757901,0.165146366,0.133299,0.258899192,0.235735952,0.954744611,-354.484.653.030.643,0.700556553,0.364645728,0.006266304,0.501287756,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
21,ASV32,FALSE,FALSE,FALSE,-0.01263029,0.232576695,-0.190084866,0.198898917,0.373443811,0.35143133,-0.063501052,0.622788993,-0.540887651,0.950506766,0.546117697,0.599366972,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
22,ASV33,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,ASV34,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
24,ASV36,FALSE,FALSE,FALSE,-0.59057394,0.295287381,0.958008381,0.161378033,0.295250236,0.272404778,-365.956.834.486.832,100.012.580.754.869,351.685.601.312.844,0.03525573,0.390950201,0.039005205,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
25,ASV38,FALSE,FALSE,FALSE,-0.00484317,-0.941363405,0.500357176,0.142160921,0.253492292,0.230298768,-0.03406822,-371.357.802.190.488,217.264.373.547.693,0.973566364,0.004818238,0.05786379,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
26,ASV39,FALSE,FALSE,FALSE,-0.384905788,0.812452415,0.137059709,0.153255956,0.301634913,0.278855993,-251.152.253.727.189,269.349.594.959.864,0.491507131,0.036284768,0.027348132,0.636268266,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
27,ASV40,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
28,ASV41,FALSE,FALSE,FALSE,0.335690935,-172.702.908.073.194,0.724932668,0.22375604,0.345403967,0.323097471,150.025.418.540.448,-500.002.677.229.839,22.436.965.130.031,0.161693121,0.000402513,0.046399755,1,0.909678982,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
29,ASV42,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
30,ASV43,FALSE,FALSE,FALSE,-0.105710818,0.343798139,-0.212896045,0.179166549,0.347391912,0.32510671,-0.590014257,0.98965499,-0.654849739,0.566125791,0.341878774,0.524918398,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
31,ASV45,FALSE,FALSE,FALSE,-0.517661402,-0.795515527,0.93776618,0.239030877,0.364549775,0.342445669,-216.566.750.476.435,-218.218.630.955.992,273.843.784.759.918,0.067044539,0.065429181,0.02898345,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
32,ASV46,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,ASV47,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,ASV48,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,ASV49,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,ASV50,FALSE,FALSE,FALSE,0.038275905,-0.692418392,0.101454493,0.10465927,0.21424497,0.191214653,0.365719203,-323.190.033.613.714,0.530579069,0.725376384,0.014413762,0.612120124,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
37,ASV51,FALSE,FALSE,FALSE,-0.552101856,0.17191822,0.656878437,0.219721795,0.325446765,0.302924288,-251.273.141.142.267,0.528252969,216.845.747.279.021,0.045734065,0.616282744,0.073217565,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
38,ASV52,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,ASV53,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
40,ASV54,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
41,ASV55,FALSE,FALSE,FALSE,-0.11146441,-0.197793273,0.140328553,0.129906574,0.260599898,0.237447528,-0.858035177,-0.758992134,0.590987635,0.41583799,0.469627023,0.570844319,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
42,ASV56,FALSE,FALSE,FALSE,-0.055492262,-0.514559062,0.269480628,0.162778586,0.267260883,0.244156287,-0.340906402,-192.530.630.144.813,110.372.184.540.562,0.740997211,0.086319491,0.298348598,1,1,1,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
43,ASV58,FALSE,FALSE,FALSE,0.065714711,-170.512.321.794.006,0.132331111,0.139559763,0.229064326,0.20585878,0.470871474,-744.386.194.474.392,0.64282471,0.654363933,0.0003028,0.544105387,1,0.685538539,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
44,ASV59,FALSE,FALSE,FALSE,-0.008691471,-0.896136623,0.535734824,0.152294034,0.267546317,0.244443935,-0.057070331,-334.946.349.631.943,219.164.703.144.045,0.955613415,0.007371997,0.053187543,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
45,ASV60,FALSE,FALSE,FALSE,-0.38014862,0.509008872,0.090264074,0.239592756,0.42521445,0.403698267,-158.664.487.794.168,119.706.390.797.222,0.223592918,0.156614158,0.270243451,0.829459332,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
46,ASV61,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,ASV62,FALSE,FALSE,FALSE,-0.801436775,102.484.237.953.318,0.461577849,0.140239503,0.273362339,0.250307559,-571.477.191.484.251,37.490.254.951.224,184.404.278.412.013,0.000724216,0.007177315,0.107704368,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,ASV63,FALSE,FALSE,FALSE,0.11180778,0.085312001,-0.420521188,0.217134892,0.386135233,0.364250444,0.514923139,0.220938141,-115.448.366.653.366,0.615959162,0.828855187,0.270775448,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
49,ASV65,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,ASV66,FALSE,FALSE,FALSE,-0.486185961,0.417215503,0.381448257,0.235046592,0.362669079,0.340545388,-206.846.633.154.527,1.150.402.741.947,112.010.988.961.186,0.072401415,0.283201969,0.295164882,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
51,ASV67,FALSE,FALSE,FALSE,0.030190473,-0.793307057,0.013911508,0.111398364,0.230751107,0.207537039,0.271013609,-343.793.392.321.146,0.067031447,0.795462977,0.013835929,0.94873452,1,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
52,ASV68,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
