"taxon" "lfc_(Intercept)" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy"
"1" "Abditibacteriota" -0.924321733387121 2.28059902607051 -0.314744871223908 0.164563540389022 0.329963641718659 0.3072942359054 -5.61680753344308 6.91166764371891 -1.02424593255567 0.0302655705007795 0.0202979647459962 0.413429986188934 0.491002183750454 0.243575576951954 1 FALSE FALSE FALSE FALSE FALSE TRUE
"2" "Acidobacteriota" 0.361014142954792 -2.11454572135281 0.793213771938324 0.213672915267583 0.34763064276158 0.325141603160111 1.6895643629081 -6.08273685125927 2.43959482339059 0.119219778774035 7.92984227753354e-05 0.0328463027569518 1 0.00158596845550671 0.624079752382085 FALSE TRUE FALSE TRUE TRUE TRUE
"3" "Actinobacteriota" 0.186426308586779 -0.48389224593877 -0.0180104876322002 0.144788025661891 0.292522852268731 0.269497588963645 1.28758098423224 -1.65420322612687 -0.0668298655340837 0.220342346028872 0.122016188432115 0.947734030063367 1 0.854113319024803 1 FALSE FALSE FALSE TRUE FALSE TRUE
"4" "Armatimonadota" -0.752760635925292 0.68825702327607 0.583095739856965 0.261221867949624 0.313404305756558 0.290569942281924 -2.88169073222637 2.19606754162046 2.00673109984384 0.0204583727482231 0.0593567743572593 0.0796808523192337 0.409167454964462 0.593567743572593 1 FALSE FALSE FALSE FALSE TRUE TRUE
"5" "Bacteroidota" -0.107214348206347 0.117792240648471 -0.0324136606331899 0.176695972001389 0.32118199884898 0.298424240283467 -0.606773018037467 0.366746084994189 -0.108616044736851 0.554451080661684 0.719708670416166 0.915165633443111 1 1 1 FALSE FALSE FALSE TRUE TRUE TRUE
"6" "Bdellovibrionota" 0.341478394939288 -2.08874600448517 1.27673909820918 0.405753832974725 0.594450898347665 0.573941469524285 0.841590065670579 -3.51374017650751 2.22451097542649 0.415230974051633 0.00381228418748992 0.0444481347006763 1 0.0648088311873286 0.755618289911498 FALSE FALSE FALSE TRUE TRUE FALSE
"7" "Calditrichota" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE TRUE FALSE TRUE
"8" "Chloroflexi" 0.0494841139144351 -1.03129262003502 0.548866977568987 0.23094970083407 0.356744786940305 0.334348833401087 0.214263598245524 -2.89084145806339 1.64159979858689 0.834261625740439 0.0146837251512038 0.128925646376449 1 0.19088842696565 1 FALSE FALSE FALSE TRUE TRUE FALSE
"9" "Deinococcota" -0.521623803040274 0.642141999121654 NA 0.168307544041162 0.305713968381633 NA -3.09923007915025 2.10046666340102 NA 0.0362481632276775 0.103598698154193 1 0.543722448415162 0.828789585233547 1 FALSE FALSE FALSE FALSE TRUE TRUE
"10" "Dependentiae" 0.530614890664801 -1.53065300526109 -0.075540827052462 0.167548051142282 0.318266505811842 0.295479807583809 3.16694158509909 -4.80934367050864 -0.255654786261615 0.0100396817859607 0.000713546588147182 0.803399111824982 0.220872999291136 0.0128438385866493 1 FALSE TRUE FALSE FALSE TRUE FALSE
"11" "Desulfobacterota" -2.16119454767898 1.55492963134521 1.26601156502643 0.178269778996538 0.364125105303942 0.34180408584664 -12.1231683790944 4.27031701109232 3.70390998074394 6.7464130273223e-05 0.00793637191157124 0.0139427031131073 0.00161913912655735 0.119045578673569 0.306739468488361 TRUE FALSE FALSE TRUE TRUE FALSE
"12" "Entotheonellaeota" NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 FALSE FALSE FALSE FALSE FALSE TRUE
"13" "Fibrobacterota" 0.165485670527176 -1.12517032538199 0.21768306173186 0.207666966417593 0.330517006381822 0.307853213211513 0.796880088258255 -3.40427361877457 0.707100177584632 0.44852217859686 0.00930151722204887 0.499579782171199 1 0.130221241108684 1 FALSE FALSE FALSE FALSE TRUE TRUE
"14" "Firmicutes" 0.427251269521873 -0.715367099658261 -0.268185555782896 0.156675871797492 0.301591008604751 0.278645183596877 2.72697553631045 -2.37197754325555 -0.962462556578357 0.0172812863831661 0.0338108653581781 0.353379171878609 0.362907014046488 0.371919518939959 1 FALSE FALSE FALSE FALSE TRUE TRUE
"15" "Gemmatimonadota" 0.546489397504515 -3.16373710920544 1.61462605123172 0.378155874267028 0.528899225676731 0.507980273693344 1.44514321921817 -5.98173896956914 3.17852116479316 0.17402138545211 6.39354644280281e-05 0.00794297128089281 1 0.00134264475298859 0.190631310741427 FALSE TRUE FALSE TRUE TRUE TRUE
