"taxon" "lfc_(Intercept)" "lfc_Soil.originSoilB" "lfc_Plant.conditionHealthy" "se_(Intercept)" "se_Soil.originSoilB" "se_Plant.conditionHealthy" "W_(Intercept)" "W_Soil.originSoilB" "W_Plant.conditionHealthy" "p_(Intercept)" "p_Soil.originSoilB" "p_Plant.conditionHealthy" "q_(Intercept)" "q_Soil.originSoilB" "q_Plant.conditionHealthy" "diff_(Intercept)" "diff_Soil.originSoilB" "diff_Plant.conditionHealthy" "passed_ss_(Intercept)" "passed_ss_Soil.originSoilB" "passed_ss_Plant.conditionHealthy"
"1" "Abditibacteriota" -0.924321733387121 2.28059902607051 -0.314744871223908 0.170152405245759 0.328123534694011 0.305505512830394 -5.43231658730938 6.95042807032195 -1.03024285325628 0.0322561215683988 0.0200789586115279 0.411184074480878 0.399296563932425 0.160631668892223 1 FALSE FALSE FALSE FALSE FALSE TRUE
"2" "Acidobacteriota" 0.361014142954792 -2.11454572135281 0.793213771938324 0.218006414824187 0.345884537021651 0.323451593062401 1.65597945017322 -6.11344392426669 2.4523415217352 0.125944712519716 7.59087643941294e-05 0.0321121346665545 0.837048093570708 0.00121454023030607 0.481682019998317 FALSE TRUE FALSE TRUE TRUE TRUE
"3" "Actinobacteriota" 0.186426308586779 -0.48389224593877 -0.0180104876322002 0.151110074318743 0.29044563736315 0.26745620465096 1.23371197735991 -1.66603378977165 -0.0673399506872705 0.239150656282391 0.119605790031177 0.947335751561724 0.837048093570708 0.358817370093532 1 FALSE FALSE FALSE TRUE FALSE TRUE
"4" "Armatimonadota" -0.752760635925292 0.68825702327607 0.583095739856965 0.264778296845944 0.311466383467947 0.288677609638847 -2.8429846588343 2.20973132192578 2.01988557611535 0.0217120500393465 0.0581053585094499 0.0780724558002037 0.347392800629544 0.3486321510567 0.858797013802241 FALSE FALSE FALSE FALSE TRUE TRUE
"5" "Bacteroidota" -0.107214348206347 0.117792240648471 -0.0324136606331899 0.181912475402495 0.319291286364784 0.296582025985802 -0.589373257491697 0.368917805398222 -0.109290711483445 0.56571319730099 0.718127700254062 0.914640933544342 0.837048093570708 0.718127700254062 1 FALSE FALSE FALSE TRUE TRUE TRUE
"6" "Bdellovibrionota" 0.341478394939288 -2.08874600448517 1.27673909820918 0.408052515197773 0.593431478529913 0.57298576019721 0.836849136375944 -3.51977621689289 2.22822133968871 0.417795857379942 0.00376843109287099 0.0441454222030702 0.837048093570708 0.0489896042073229 0.573890488639912 FALSE TRUE FALSE TRUE TRUE FALSE
"7" "Chloroflexi" 0.0494841139144351 -1.03129262003502 0.548866977568987 0.234964777149457 0.355043507436675 0.332705595603299 0.210602263516965 -2.9046936458033 1.64970768397724 0.837048093570708 0.0143243454662112 0.127237264538271 0.837048093570708 0.128919109195901 1 FALSE FALSE FALSE TRUE TRUE FALSE
"8" "Deinococcota" -0.521623803040274 0.642141999121654 NA 0.173776038528663 0.303726982053783 NA -3.00170154330131 2.11420794681964 NA 0.0398750151339256 0.102005477700618 1 0.438625166473182 0.358817370093532 1 FALSE FALSE FALSE FALSE TRUE TRUE
"9" "Dependentiae" 0.530614890664801 -1.53065300526109 -0.075540827052462 0.173040549083515 0.316358369393844 0.293619120015784 3.06641936514377 -4.83835154478094 -0.257274890846349 0.0119133364949578 0.000683179558739137 0.802182970424616 0.214440056909241 0.00956451382234792 1 FALSE TRUE FALSE FALSE TRUE FALSE
"10" "Desulfobacterota" -2.16119454767898 1.55492963134521 1.26601156502643 0.18344153370767 0.362458468622903 0.340196860729983 -11.7813807156837 4.28995254891654 3.72140872290785 7.75122088214233e-05 0.00778942331300306 0.0136921289924442 0.00155024417642847 0.0856836564430336 0.246458321863995 TRUE FALSE FALSE TRUE TRUE FALSE
"11" "Fibrobacterota" 0.165485670527176 -1.12517032538199 0.21768306173186 0.212123197992661 0.328679997370473 0.306067756932565 0.780139428846917 -3.42330027498979 0.711225069616928 0.457767044057916 0.00904378803760962 0.497155037646943 0.837048093570708 0.0904378803760962 1 FALSE FALSE FALSE FALSE TRUE TRUE
"12" "Firmicutes" 0.427251269521873 -0.715367099658261 -0.268185555782896 0.162536183630143 0.299576677388417 0.276671301892364 2.62865326341178 -2.38792654319599 -0.969329142374263 0.0208406755641699 0.032818010863252 0.350070618041434 0.347392800629544 0.229726076042764 1 FALSE FALSE FALSE FALSE TRUE TRUE
"13" "Gemmatimonadota" 0.546489397504515 -3.16373710920544 1.61462605123172 0.380621265076201 0.527753199976369 0.506900216423946 1.43578262080314 -5.99472842485294 3.18529367105522 0.176615474397452 6.26724159493293e-05 0.00784373943777174 0.837048093570708 0.0010654310711386 0.156874788755435 FALSE TRUE FALSE TRUE TRUE TRUE
"14" "Latescibacterota" 0.172607338642467 -0.950770896368054 0.202319222435856 0.154477279339165 0.265433950730702 0.242261223623255 1.11736392161268 -3.58194908281595 0.835128376757836 0.296269045813491 0.00716791710335956 0.427879664253134 0.837048093570708 0.0856836564430336 1 FALSE FALSE FALSE TRUE FALSE FALSE
"15" "Myxococcota" 0.659705403375488 -2.58338475493131 0.885434923733508 0.263896763261821 0.400101724363991 0.378213331962856 2.49986167022811 -6.45681984759729 2.34109918637259 0.0279224845941258 3.12880015976823e-05 0.0373110851802125 0.399296563932425 0.000563184028758282 0.522355192522976 FALSE TRUE FALSE FALSE TRUE FALSE
"16" "Nitrospirota" 0.847172546357236 -2.99111878370783 0.899804112322455 0.232676990067625 0.341084288274336 0.318601323394102 3.64098119934857 -8.76944170850245 2.82423218691223 0.00338197234184485 1.45095504863018e-06 0.0153390217954356 0.0642574744950522 2.90191009726037e-05 0.260763370522405 FALSE TRUE FALSE FALSE TRUE FALSE
"17" "Planctomycetota" 0.555825288262533 -2.92976023337847 0.84260383393903 0.221386143867437 0.33157312204922 0.308990980076403 2.51065978454078 -8.83594006435651 2.72695285063235 0.0332747136610354 9.92224504005339e-06 0.0233406569037585 0.399296563932425 0.000188522655761014 0.373450510460136 FALSE TRUE FALSE TRUE TRUE FALSE
