"plant.b1"	"plant.b2"	"plant.b3"	"plant.b4"	"plant.d1"	"plant.d2"	"plant.d3"	"plant.d4"	"plant.f1"	"plant.f2"	"plant.f3"	"plant.f4"	"plant.k1"	"plant.k2"	"plant.k3"	"plant.k4"	"plant.m1"	"plant.m2"	"plant.m3"	"plant.m4"	"plant.p1"	"plant.p2"	"plant.p3"	"plant.p4"	"plant.r1"	"plant.r2"	"plant.r3"	"plant.r4"	"plant.s1"	"plant.s2"	"plant.s3"	"plant.s4"	"plant.t1"	"plant.t2"	"plant.t3"	"plant.t4"	"plant.v1"	"plant.v2"	"plant.v3"	"plant.v4"	"plant.x1"	"plant.x2"	"plant.x3"	"plant.x4"	"plant.y1"	"plant.y2"	"plant.y3"	"plant.y4"
"ASV5"	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	0	0	33	10342	7948	4480	15785	100	0	71	0	3375	2615	6955	4023	1057	66	55	0
"ASV6"	150	121	75	79	2749	1015	3155	3637	2081	1121	329	741	211	0	184	251	130	167	170	126	217	75	185	148	134	0	169	0	6639	11046	2880	2162	0	0	207	0	3814	386	2463	0	0	0	0	0	0	0	0	0
"ASV7"	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	36	0	8304	6562	3801	13191	0	105	0	26	2674	2168	5393	3244	849	91	0	57
"ASV8"	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	16	0	0	0	7066	5875	3249	11521	0	0	0	0	2369	1823	4709	2924	956	67	0	0
"ASV9"	133	0	119	99	2492	902	2950	3193	1813	992	292	639	0	0	93	0	0	0	0	128	0	60	133	120	0	95	0	58	5774	9290	2361	1785	0	0	0	0	3364	390	2068	110	0	0	0	0	0	0	103	100
"ASV10"	79	0	73	69	2084	751	2343	2679	1604	828	243	532	0	219	0	0	0	0	0	88	0	57	0	0	0	42	0	0	5007	8172	2152	1404	0	0	0	0	3062	323	1828	0	0	0	24	61	0	0	0	0
"ASV11"	1582	805	1104	1547	1012	1023	722	1043	979	484	592	401	146	161	192	240	842	1155	1020	903	159	343	241	125	133	199	506	103	165	153	236	239	867	147	101	1518	337	132	139	284	284	203	293	141	91	144	295	174
"ASV14"	1402	737	902	1150	846	903	619	876	755	454	540	329	120	127	254	192	761	941	818	738	134	298	218	131	92	166	392	116	123	134	191	257	716	0	123	1224	290	121	179	232	264	161	212	98	0	129	233	88
"ASV15"	1273	667	725	1078	837	781	509	725	653	336	455	277	132	0	131	163	650	864	828	718	116	249	179	121	0	134	412	70	130	117	167	191	581	0	77	1219	267	122	116	212	219	152	207	106	0	108	178	0
"ASV17"	656	322	381	583	281	277	206	254	364	180	212	129	450	303	489	509	337	402	368	278	345	904	509	404	141	737	654	111	262	297	441	358	390	246	141	335	722	293	304	635	222	168	73	0	0	150	167	0
"ASV20"	826	78	92	155	194	251	0	169	243	118	69	1594	57	13	0	94	124	120	49	113	70	77	0	0	0	0	0	239	0	0	0	0	0	0	71	0	0	0	0	0	136	2246	125	231	64	4225	717	681
"ASV21"	535	250	273	447	212	252	172	224	246	151	199	172	316	226	434	373	241	318	270	236	298	732	410	336	155	638	574	96	224	269	322	314	328	172	116	290	600	288	224	561	161	0	74	0	0	0	156	158
"ASV23"	849	397	583	704	418	383	262	301	375	286	250	210	191	138	217	269	403	483	660	405	209	325	219	169	0	324	165	145	135	134	189	256	87	0	0	0	260	162	169	338	0	49	102	0	113	331	153	256
"ASV24"	469	213	245	426	249	237	152	189	253	131	190	131	372	219	354	335	220	293	260	215	238	622	380	267	129	582	521	83	187	242	304	287	331	182	90	248	479	231	236	488	135	0	54	104	62	0	0	0
"ASV25"	682	0	0	113	102	209	116	136	200	102	109	1347	0	0	0	0	0	0	82	116	0	0	35	0	0	0	56	202	0	0	0	0	0	0	64	0	0	22	0	0	176	1980	131	202	69	3627	584	554
"ASV26"	2311	186	263	295	95	260	274	1238	1160	549	110	112	100	0	0	90	56	0	255	179	105	122	93	0	296	129	58	94	0	0	127	52	9	0	0	0	102	140	0	0	124	0	259	479	35	73	684	395
"ASV27"	0	0	0	0	28	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	3205	2214	867	414	0	0	0	0	1746	631	749	973	0	0	0	0
"ASV28"	1148	75	121	0	2324	82	80	1066	131	0	0	0	0	162	157	190	168	217	85	90	190	204	182	0	121	151	289	172	86	346	203	67	0	0	162	82	116	202	109	61	219	420	194	233	53	159	408	106
"ASV30"	2045	161	241	263	42	211	219	1145	1013	509	0	116	94	81	64	70	58	80	226	152	88	147	81	123	273	120	86	0	0	104	0	55	0	0	0	0	65	129	0	115	115	0	209	436	0	76	637	349
"ASV31"	697	331	473	515	330	254	249	299	334	231	239	197	215	135	172	236	296	403	448	342	152	261	199	225	87	263	121	0	165	155	152	250	126	0	0	0	239	143	182	287	0	55	134	154	0	0	211	0
"ASV32"	439	257	306	438	0	0	0	40	0	0	42	57	246	161	272	329	259	284	433	258	246	497	343	279	420	0	157	0	0	0	0	23	511	151	1920	85	0	21	0	0	104	423	144	208	62	0	177	164
"ASV33"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2071	2388	997	364	0	0	20	0	1539	565	1006	721	0	0	0	17
"ASV34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	2645	1854	716	329	0	46	85	0	1449	561	649	778	0	0	0	0
"ASV36"	577	0	0	84	0	204	31	125	189	106	52	1172	0	0	0	0	0	0	57	99	0	0	0	0	0	0	0	177	0	0	0	0	0	0	62	0	0	0	0	0	105	1668	0	194	71	3094	429	448
"ASV38"	610	351	418	457	270	256	179	227	281	198	217	148	176	94	162	161	267	313	416	327	157	257	189	120	0	268	123	0	122	91	127	212	70	0	63	0	165	113	128	279	181	48	91	0	0	0	122	0
"ASV39"	135	74	92	110	80	102	0	0	84	0	0	0	322	279	386	499	58	85	84	87	390	651	398	323	703	0	79	77	240	296	432	448	0	0	0	0	601	278	347	583	0	0	0	0	0	0	0	0
"ASV40"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	1747	2009	833	283	0	26	0	0	1349	545	793	600	0	32	27	0
