"","plant-b1","plant-b2","plant-b3","plant-b4","plant-d1","plant-d2","plant-d3","plant-d4","plant-f1","plant-f2","plant-f3","plant-f4","plant-k1","plant-k2","plant-k3","plant-k4","plant-m1","plant-m2","plant-m3","plant-m4","plant-p1","plant-p2","plant-p3","plant-p4","plant-r1","plant-r2","plant-r3","plant-r4","plant-s1","plant-s2","plant-s3","plant-s4","plant-t1","plant-t2","plant-t3","plant-t4","plant-v1","plant-v2","plant-v3","plant-v4","plant-x1","plant-x2","plant-x3","plant-x4","plant-y1","plant-y2","plant-y3","plant-y4"
"9f8467efc59a2e48b361ed441f4b45f0",1037,124,323,136,36025,39097,33841,33186,51580,36154,33570,33758,427,404,375,364,178,63,321,47,542,625,0,115,35432,25975,23119,39263,31930,31595,39673,30523,25575,22206,16791,17504,44935,29504,32534,40491,12830,6147,16445,14708,24773,34354,19353,24536
"d95a021c644bef957069614550ccda02",1017,87,265,96,30764,33677,28645,28770,44949,30958,28781,27936,351,338,250,303,169,107,293,43,475,570,0,86,29969,21455,19707,33143,27344,27224,33357,25782,21445,18851,14470,14871,38349,25048,27428,34618,11228,5335,13748,12540,20309,28575,16364,20202
"44786568124b1d96fd0317b42308d7a8",861,90,242,92,27276,29242,24622,24459,38795,27583,25266,25061,380,324,271,242,131,52,245,39,380,479,83,73,26627,18787,16884,28930,24550,23612,29468,22318,18415,16537,12245,12869,34919,22219,24190,29865,9369,4501,11590,11157,22053,25422,12756,17605
"7f31b6d79100d1bd1ba81632c3b1c053",543,63,164,69,15850,18017,15545,14573,23560,16429,15545,15914,263,257,185,188,109,0,185,28,266,356,0,48,16400,12095,11262,18467,13860,13926,18016,13717,11751,10670,7843,8309,20561,13022,14475,18226,5574,3141,8058,7174,13199,17206,8037,12036
"e70b62b6d6c345f9396cbbc67bb5aa8a",0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,33,10342,7948,4480,15785,100,0,71,0,3375,2615,6955,4023,1057,66,55,0
"f06c47b156df0a14ad61845515d992ec",150,121,75,79,2749,1015,3155,3637,2081,1121,329,741,211,0,184,251,130,167,170,126,217,75,185,148,134,0,169,0,6639,11046,2880,2162,0,0,207,0,3814,386,2463,0,0,0,0,0,0,0,0,0
"6c25d830081f1121d2ac8ed0ac2d7185",0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,36,0,8304,6562,3801,13191,0,105,0,26,2674,2168,5393,3244,849,91,0,57
"900195ed272c06d0220405d0eef8d0b2",0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,7066,5875,3249,11521,0,0,0,0,2369,1823,4709,2924,956,67,0,0
"f0823e7f6965d03c34b373080c66a6e3",133,0,119,99,2492,902,2950,3193,1813,992,292,639,0,0,93,0,0,0,0,128,0,60,133,120,0,95,0,58,5774,9290,2361,1785,0,0,0,0,3364,390,2068,110,0,0,0,0,0,0,103,100
"d4877d5f90405ba6b0976c4315858196",79,0,73,69,2084,751,2343,2679,1604,828,243,532,0,219,0,0,0,0,0,88,0,57,0,0,0,42,0,0,5007,8172,2152,1404,0,0,0,0,3062,323,1828,0,0,0,24,61,0,0,0,0
