"ID"	"Sample"	"Plant.condition"	"Microcompartment"	"Soil.origin"	"Replicate"	"Compsoil"	"CompSoilDis"
"1"	"plant.b1"	"b1"	"Healthy"	"Rhizosphere"	"SoilA"	"Rep1"	"RhizoSoilA"	"RhizoSoilAH"
"2"	"plant.b2"	"b2"	"Healthy"	"Rhizosphere"	"SoilA"	"Rep2"	"RhizoSoilA"	"RhizoSoilAH"
"3"	"plant.b3"	"b3"	"Healthy"	"Rhizosphere"	"SoilA"	"Rep3"	"RhizoSoilA"	"RhizoSoilAH"
"4"	"plant.b4"	"b4"	"Healthy"	"Rhizosphere"	"SoilA"	"Rep4"	"RhizoSoilA"	"RhizoSoilAH"
"5"	"plant.d1"	"d1"	"Diseased"	"Endosphere"	"SoilB"	"Rep1"	"RootsSoilB"	"RootsSoilBD"
"6"	"plant.d2"	"d2"	"Diseased"	"Endosphere"	"SoilB"	"Rep2"	"RootsSoilB"	"RootsSoilBD"
"7"	"plant.d3"	"d3"	"Diseased"	"Endosphere"	"SoilB"	"Rep3"	"RootsSoilB"	"RootsSoilBD"
"8"	"plant.d4"	"d4"	"Diseased"	"Endosphere"	"SoilB"	"Rep4"	"RootsSoilB"	"RootsSoilBD"
"9"	"plant.f1"	"f1"	"Healthy"	"Endosphere"	"SoilB"	"Rep1"	"RootsSoilB"	"RootsSoilBH"
"10"	"plant.f2"	"f2"	"Healthy"	"Endosphere"	"SoilB"	"Rep2"	"RootsSoilB"	"RootsSoilBH"
"11"	"plant.f3"	"f3"	"Healthy"	"Endosphere"	"SoilB"	"Rep3"	"RootsSoilB"	"RootsSoilBH"
"12"	"plant.f4"	"f4"	"Healthy"	"Endosphere"	"SoilB"	"Rep4"	"RootsSoilB"	"RootsSoilBH"
"13"	"plant.k1"	"k1"	"Healthy"	"Phyllosphere"	"SoilA"	"Rep1"	"PhylloSoilA"	"PhylloSoilAH"
"14"	"plant.k2"	"k2"	"Healthy"	"Phyllosphere"	"SoilA"	"Rep2"	"PhylloSoilA"	"PhylloSoilAH"
"15"	"plant.k3"	"k3"	"Healthy"	"Phyllosphere"	"SoilA"	"Rep3"	"PhylloSoilA"	"PhylloSoilAH"
"16"	"plant.k4"	"k4"	"Healthy"	"Phyllosphere"	"SoilA"	"Rep4"	"PhylloSoilA"	"PhylloSoilAH"
"17"	"plant.m1"	"m1"	"Diseased"	"Rhizosphere"	"SoilA"	"Rep1"	"RhizoSoilA"	"RhizoSoilAD"
"18"	"plant.m2"	"m2"	"Diseased"	"Rhizosphere"	"SoilA"	"Rep2"	"RhizoSoilA"	"RhizoSoilAD"
"19"	"plant.m3"	"m3"	"Diseased"	"Rhizosphere"	"SoilA"	"Rep3"	"RhizoSoilA"	"RhizoSoilAD"
