ID	Sample	Plant.condition	Microcompartment	Soil.origin	Replicate
plant.01	b1	Healthy	Rhizosphere	SoilA	Rep1
plant.02	b2	Healthy	Rhizosphere	SoilA	Rep2
plant.03	b3	Healthy	Rhizosphere	SoilA	Rep3
plant.04	b4	Healthy	Rhizosphere	SoilA	Rep4
plant.05	d1	Diseased	Endosphere	SoilB	Rep1
plant.06	d2	Diseased	Endosphere	SoilB	Rep2
plant.07	d3	Diseased	Endosphere	SoilB	Rep3
plant.08	d4	Diseased	Endosphere	SoilB	Rep4
plant.09	f1	Healthy	Endosphere	SoilB	Rep1
plant.10	f2	Healthy	Endosphere	SoilB	Rep2
plant.11	f3	Healthy	Endosphere	SoilB	Rep3
plant.12	f4	Healthy	Endosphere	SoilB	Rep4
plant.13	k1	Healthy	Phyllosphere	SoilA	Rep1
plant.14	k2	Healthy	Phyllosphere	SoilA	Rep2
plant.15	k3	Healthy	Phyllosphere	SoilA	Rep3
plant.16	k4	Healthy	Phyllosphere	SoilA	Rep4
plant.17	m1	Diseased	Rhizosphere	SoilA	Rep1
plant.18	m2	Diseased	Rhizosphere	SoilA	Rep2
plant.19	m3	Diseased	Rhizosphere	SoilA	Rep3
plant.20	m4	Diseased	Rhizosphere	SoilA	Rep4
plant.21	p1	Diseased	Phyllosphere	SoilA	Rep1
plant.22	p2	Diseased	Phyllosphere	SoilA	Rep2
plant.23	p3	Diseased	Phyllosphere	SoilA	Rep3
plant.24	p4	Diseased	Phyllosphere	SoilA	Rep4
plant.25	r1	Healthy	Rhizosphere	SoilB	Rep1
plant.26	r2	Healthy	Rhizosphere	SoilB	Rep2
plant.27	r3	Healthy	Rhizosphere	SoilB	Rep3
plant.28	r4	Healthy	Rhizosphere	SoilB	Rep4
plant.29	s1	Healthy	Phyllosphere	SoilB	Rep1
plant.30	s2	Healthy	Phyllosphere	SoilB	Rep2
plant.31	s3	Healthy	Phyllosphere	SoilB	Rep3
plant.32	s4	Healthy	Phyllosphere	SoilB	Rep4
plant.33	t1	Diseased	Rhizosphere	SoilB	Rep1
plant.34	t2	Diseased	Rhizosphere	SoilB	Rep2
plant.35	t3	Diseased	Rhizosphere	SoilB	Rep3
plant.36	t4	Diseased	Rhizosphere	SoilB	Rep4
plant.37	v1	Diseased	Phyllosphere	SoilB	Rep1
plant.38	v2	Diseased	Phyllosphere	SoilB	Rep2
plant.39	v3	Diseased	Phyllosphere	SoilB	Rep3
plant.40	v4	Diseased	Phyllosphere	SoilB	Rep4
plant.41	x1	Healthy	Endosphere	SoilA	Rep1
plant.42	x2	Healthy	Endosphere	SoilA	Rep2
plant.43	x3	Healthy	Endosphere	SoilA	Rep3
plant.44	x4	Healthy	Endosphere	SoilA	Rep4
plant.45	y1	Diseased	Endosphere	SoilA	Rep1
plant.46	y2	Diseased	Endosphere	SoilA	Rep2
plant.47	y3	Diseased	Endosphere	SoilA	Rep3
plant.48	y4	Diseased	Endosphere	SoilA	Rep4
