"","Kingdom","Phylum","Class","Order","Family","Genus"
"9f8467efc59a2e48b361ed441f4b45f0","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"d95a021c644bef957069614550ccda02","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"44786568124b1d96fd0317b42308d7a8","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"7f31b6d79100d1bd1ba81632c3b1c053","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"e70b62b6d6c345f9396cbbc67bb5aa8a","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"f06c47b156df0a14ad61845515d992ec","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"6c25d830081f1121d2ac8ed0ac2d7185","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"900195ed272c06d0220405d0eef8d0b2","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"f0823e7f6965d03c34b373080c66a6e3","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"d4877d5f90405ba6b0976c4315858196","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"50a70c6d4c30b7d390827bdf0a0d8627","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus"
"a880f5dc82eb4c51ea9eeb5ec885fe34","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
"d481ccabb1802a62057dded5637962cc","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
"82374633da1d27b04cbbc2a066c88255","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Solibacillus"
"481b897fbf51ef2a8c6debc9c143c86a","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"e28027e2a0a7e2fb1135051c3f3315f2","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
"815aa9922061eb2eda72fe9565b6c8d8","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"2bce6ed99b369df0f0c19ae63c24bcf8","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"d3904cc2e9cb4e3aa48a3b984679afa5","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
"8c62f63b9723ecafeb7119347c9fea75","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"830dfaafad9fa18099cf5e2deb228e54","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"e059d68ddfaf23ccf44323a0d6a5dbcb","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"3678814c0d31deef14e524b4e79c0f75","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina"
"920b6313cfd44a1e60f797fa1f8ab468","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"e7b9bf18d78a58124b8eb0c636414b34","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"2456ea21ddbe8aa966a9084a4fc8484e","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"01321f40d3e1878739f9e77c4f39e2c4","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"a985ca124d32ed14d67d3f9ad7feba3b","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA
"276b57b4205e0cbc9a8ce4df49d17c24","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"5bba52574d9498278b3b3c7bac4fabc2","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"79547420d9823127025003635290630c","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"5541d5e11fb9e6bfc1c58b9f4aa2797f","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Micrococcaceae","Pseudarthrobacter"
"472318683df2d3770910f3c51c4307ba","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
"7e1a75a5a79c6a3dbf96253b8625dac0","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter"
"1f3b55d1d489df78cd8235ab4565b4ca","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae","Candidatus Nitrocosmicus"
"30d60cee5e163ddfb6694311f7d624c1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"7f12b0e81b6e7d1e8ba38769bd24e351","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
"8866e0d95c22ff0a44139670a7d962ea","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina"
"21379fb7d0c4d428e2da4d827dac3cff","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae",NA
"db1f6dfdde5f5bc1434c6c44eb3a66ce","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium"
